TimeUS,LiftMax,BatVolt,BatRes,ThLimit,timestamp
221061944.0,0.9630942940711975,0.9793065190315247,0.0,1.0,1668050393.380965
221161538.0,0.9628535509109497,0.9791702628135681,0.0,1.0,1668050393.4805589
221261550.0,0.9626137018203735,0.9790344834327698,0.0,1.0,1668050393.580571
221361365.0,0.9625563025474548,0.9790019989013672,0.0,1.0,1668050393.680386
221461355.0,0.9626296162605286,0.9790434837341309,0.0,1.0,1668050393.780376
221561416.0,0.9626938104629517,0.9790798425674438,0.0,1.0,1668050393.880437
221661351.0,0.9627646803855896,0.9791199564933777,0.0,1.0,1668050393.980372
221761347.0,0.9628477692604065,0.9791669845581055,0.0,1.0,1668050394.080368
221861302.0,0.9629460573196411,0.9792225956916809,0.0,1.0,1668050394.180323
221961698.0,0.9629955291748047,0.9792506098747253,0.0,1.0,1668050394.280719
222061422.0,0.9630530476570129,0.9792831540107727,0.0,1.0,1668050394.380443
222161403.0,0.9630451202392578,0.9792786836624146,0.0,1.0,1668050394.480424
222261363.0,0.9630562663078308,0.9792850017547607,0.0,1.0,1668050394.580384
222361533.0,0.963087260723114,0.9793025255203247,0.0,1.0,1668050394.680554
222461451.0,0.9631085395812988,0.9793145656585693,0.0,1.0,1668050394.780472
222561420.0,0.9631130695343018,0.9793171286582947,0.0,1.0,1668050394.880441
222661533.0,0.9631289839744568,0.9793261289596558,0.0,1.0,1668050394.980554
222761356.0,0.9631518125534058,0.979339063167572,0.0,1.0,1668050395.080377
222861527.0,0.9631563425064087,0.9793416261672974,0.0,1.0,1668050395.180548
222961487.0,0.9631717205047607,0.9793503284454346,0.0,1.0,1668050395.280508
223061764.0,0.9631720185279846,0.9793505072593689,0.0,1.0,1668050395.380785
223161695.0,0.9631827473640442,0.979356586933136,0.0,1.0,1668050395.480716
223261427.0,0.9631564617156982,0.9793416857719421,0.0,1.0,1668050395.580448
223361661.0,0.9631380438804626,0.9793312549591064,0.0,1.0,1668050395.680682
223461408.0,0.96314537525177,0.9793354272842407,0.0,1.0,1668050395.780429
223561402.0,0.9631184339523315,0.9793201684951782,0.0,1.0,1668050395.880423
223661369.0,0.9631329774856567,0.9793283939361572,0.0,1.0,1668050395.98039
223761449.0,0.9631558060646057,0.9793413281440735,0.0,1.0,1668050396.08047
223861411.0,0.9631832242012024,0.9793568253517151,0.0,1.0,1668050396.180432
223961419.0,0.9631916284561157,0.9793615937232971,0.0,1.0,1668050396.28044
224061778.0,0.9631977081298828,0.9793650507926941,0.0,1.0,1668050396.380799
224161381.0,0.9632019400596619,0.9793674349784851,0.0,1.0,1668050396.480402
224261421.0,0.9632053971290588,0.9793694019317627,0.0,1.0,1668050396.580442
227273600.0,0.9628825187683105,0.9791866540908813,0.0,1.0,1668050399.592621
227373344.0,0.9626617431640625,0.9790616631507874,0.0,1.0,1668050399.692365
227473368.0,0.9625673890113831,0.9790082573890686,0.0,1.0,1668050399.792389
227573412.0,0.9625589847564697,0.9790034890174866,0.0,1.0,1668050399.892433
227673320.0,0.9627130031585693,0.979090690612793,0.0,1.0,1668050399.992341
227773401.0,0.9628613591194153,0.9791746735572815,0.0,1.0,1668050400.092422
227873339.0,0.9629793167114258,0.9792414307594299,0.0,1.0,1668050400.19236
227973331.0,0.9630430340766907,0.979277491569519,0.0,1.0,1668050400.292352
228073412.0,0.963101863861084,0.9793108105659485,0.0,1.0,1668050400.392433
228173484.0,0.9631322026252747,0.9793279767036438,0.0,1.0,1668050400.492505
228273249.0,0.9631548523902893,0.9793407917022705,0.0,1.0,1668050400.59227
228373247.0,0.9631708860397339,0.9793498516082764,0.0,1.0,1668050400.692268
228473377.0,0.9631826877593994,0.9793565273284912,0.0,1.0,1668050400.792398
228573418.0,0.9631794095039368,0.9793546795845032,0.0,1.0,1668050400.892439
228673630.0,0.9632020592689514,0.9793674945831299,0.0,1.0,1668050400.992651
228773437.0,0.963257372379303,0.979398787021637,0.0,1.0,1668050401.092458
228873409.0,0.9632813334465027,0.9794123768806458,0.0,1.0,1668050401.19243
228973306.0,0.9633094668388367,0.9794282913208008,0.0,1.0,1668050401.292327
229073529.0,0.9632935523986816,0.9794192910194397,0.0,1.0,1668050401.39255
229173304.0,0.9631645679473877,0.9793462753295898,0.0,1.0,1668050401.492325
229273381.0,0.9629812836647034,0.9792425632476807,0.0,1.0,1668050401.592402
229373376.0,0.9629169702529907,0.9792061448097229,0.0,1.0,1668050401.6923969
229473411.0,0.9629169702529907,0.9792061448097229,0.0,1.0,1668050401.792432
229573367.0,0.9628685116767883,0.9791787266731262,0.0,1.0,1668050401.892388
229673354.0,0.9628334641456604,0.979158878326416,0.0,1.0,1668050401.992375
229773394.0,0.9628230333328247,0.9791529774665833,0.0,1.0,1668050402.092415
229873234.0,0.9629417061805725,0.9792201519012451,0.0,1.0,1668050402.192255
229973366.0,0.9630735516548157,0.9792947769165039,0.0,1.0,1668050402.292387
230073389.0,0.963162899017334,0.9793453216552734,0.0,1.0,1668050402.39241
233087086.0,0.9631298780441284,0.9793266654014587,0.0,1.0,1668050405.406107
233186782.0,0.962964653968811,0.9792331457138062,0.0,1.0,1668050405.5058029
233286734.0,0.9628193378448486,0.9791508913040161,0.0,1.0,1668050405.605755
233387089.0,0.9627184867858887,0.9790937900543213,0.0,1.0,1668050405.70611
233486868.0,0.9627636671066284,0.9791193604469299,0.0,1.0,1668050405.805889
233586885.0,0.9628846645355225,0.9791878461837769,0.0,1.0,1668050405.905906
233686791.0,0.9629624485969543,0.9792318940162659,0.0,1.0,1668050406.005812
233786785.0,0.9630426168441772,0.9792772531509399,0.0,1.0,1668050406.1058059
233886710.0,0.963114321231842,0.979317843914032,0.0,1.0,1668050406.205731
