TimeUS,MAIN,SUB_TO,SUB_WP,CTRL_M,GH_STA,timestamp
221059614.0,0.0,0.0,0.0,0.0,0.0,1668050393.378635
221159372.0,0.0,0.0,0.0,0.0,0.0,1668050393.478393
221259279.0,0.0,0.0,0.0,0.0,0.0,1668050393.5783
221359278.0,0.0,0.0,0.0,0.0,0.0,1668050393.678299
221459357.0,0.0,0.0,0.0,0.0,0.0,1668050393.778378
221559628.0,0.0,0.0,0.0,0.0,0.0,1668050393.878649
221659084.0,0.0,0.0,0.0,0.0,0.0,1668050393.978105
221759409.0,0.0,0.0,0.0,0.0,0.0,1668050394.07843
221859508.0,0.0,0.0,0.0,0.0,0.0,1668050394.178529
221959693.0,0.0,0.0,0.0,0.0,0.0,1668050394.278714
222059526.0,0.0,0.0,0.0,0.0,0.0,1668050394.378547
222159521.0,0.0,0.0,0.0,0.0,0.0,1668050394.478542
222259579.0,0.0,0.0,0.0,0.0,0.0,1668050394.5786
222359521.0,0.0,0.0,0.0,0.0,0.0,1668050394.678542
222459556.0,0.0,0.0,0.0,0.0,0.0,1668050394.778577
222559494.0,0.0,0.0,0.0,0.0,0.0,1668050394.878515
222659515.0,0.0,0.0,0.0,0.0,0.0,1668050394.978536
222759477.0,0.0,0.0,0.0,0.0,0.0,1668050395.078498
222859183.0,0.0,0.0,0.0,0.0,0.0,1668050395.178204
222959851.0,0.0,0.0,0.0,0.0,0.0,1668050395.278872
223059512.0,0.0,0.0,0.0,0.0,0.0,1668050395.378533
223159583.0,0.0,0.0,0.0,0.0,0.0,1668050395.478604
223259594.0,0.0,0.0,0.0,0.0,0.0,1668050395.578615
223359377.0,0.0,0.0,0.0,0.0,0.0,1668050395.678398
223459492.0,0.0,0.0,0.0,0.0,0.0,1668050395.778513
223559536.0,0.0,0.0,0.0,0.0,0.0,1668050395.878557
223659501.0,0.0,0.0,0.0,0.0,0.0,1668050395.978522
223759245.0,0.0,0.0,0.0,0.0,0.0,1668050396.078266
223859420.0,0.0,0.0,0.0,0.0,0.0,1668050396.178441
223959558.0,0.0,0.0,0.0,0.0,0.0,1668050396.278579
224059506.0,0.0,0.0,0.0,0.0,0.0,1668050396.378527
224159525.0,0.0,0.0,0.0,0.0,0.0,1668050396.478546
224259442.0,0.0,0.0,0.0,0.0,0.0,1668050396.578463
224359594.0,0.0,0.0,0.0,0.0,0.0,1668050396.678615
227271681.0,0.0,0.0,0.0,0.0,0.0,1668050399.590702
227371541.0,0.0,0.0,0.0,0.0,0.0,1668050399.690562
227471461.0,0.0,0.0,0.0,0.0,0.0,1668050399.790482
227571771.0,0.0,0.0,0.0,0.0,0.0,1668050399.890792
227671084.0,0.0,0.0,0.0,0.0,0.0,1668050399.990105
227771373.0,0.0,0.0,0.0,0.0,0.0,1668050400.090394
227871159.0,0.0,0.0,0.0,0.0,0.0,1668050400.19018
227971572.0,0.0,0.0,0.0,0.0,0.0,1668050400.290593
228071554.0,0.0,0.0,0.0,0.0,0.0,1668050400.390575
228171211.0,0.0,0.0,0.0,0.0,0.0,1668050400.490232
228271196.0,0.0,0.0,0.0,0.0,0.0,1668050400.5902169
228371433.0,0.0,0.0,0.0,0.0,0.0,1668050400.690454
228471422.0,0.0,0.0,0.0,0.0,0.0,1668050400.790443
228571491.0,0.0,0.0,0.0,0.0,0.0,1668050400.890512
228671557.0,0.0,0.0,0.0,0.0,0.0,1668050400.990578
228771474.0,0.0,0.0,0.0,0.0,0.0,1668050401.0904949
228871181.0,0.0,0.0,0.0,0.0,0.0,1668050401.190202
228971671.0,0.0,0.0,0.0,0.0,0.0,1668050401.290692
229071464.0,0.0,0.0,0.0,0.0,0.0,1668050401.390485
229171559.0,0.0,0.0,0.0,0.0,0.0,1668050401.49058
229271400.0,0.0,0.0,0.0,0.0,0.0,1668050401.590421
229371520.0,0.0,0.0,0.0,0.0,0.0,1668050401.690541
229470984.0,0.0,0.0,0.0,0.0,0.0,1668050401.790005
229571563.0,0.0,0.0,0.0,0.0,0.0,1668050401.890584
229671492.0,0.0,0.0,0.0,0.0,0.0,1668050401.990513
229771504.0,0.0,0.0,0.0,0.0,0.0,1668050402.090525
229871273.0,0.0,0.0,0.0,0.0,0.0,1668050402.190294
229971647.0,0.0,0.0,0.0,0.0,0.0,1668050402.290668
230071413.0,0.0,0.0,0.0,0.0,0.0,1668050402.390434
233085209.0,0.0,0.0,0.0,0.0,0.0,1668050405.4042299
233184630.0,0.0,0.0,0.0,0.0,0.0,1668050405.503651
233284667.0,0.0,0.0,0.0,0.0,0.0,1668050405.603688
233385272.0,0.0,0.0,0.0,0.0,0.0,1668050405.704293
233484687.0,0.0,0.0,0.0,0.0,0.0,1668050405.803708
233584791.0,0.0,0.0,0.0,0.0,0.0,1668050405.903812
233684811.0,0.0,0.0,0.0,0.0,0.0,1668050406.003832
233784644.0,0.0,0.0,0.0,0.0,0.0,1668050406.1036649
233884572.0,0.0,0.0,0.0,0.0,0.0,1668050406.203593
233985092.0,0.0,0.0,0.0,0.0,0.0,1668050406.304113
234084844.0,0.0,0.0,0.0,0.0,0.0,1668050406.403865
234184836.0,0.0,0.0,0.0,0.0,0.0,1668050406.503857
234284664.0,0.0,0.0,0.0,0.0,0.0,1668050406.603685
234385064.0,0.0,0.0,0.0,0.0,0.0,1668050406.7040849
234484650.0,0.0,0.0,0.0,0.0,0.0,1668050406.803671
234584801.0,0.0,0.0,0.0,0.0,0.0,1668050406.903822
234684680.0,0.0,0.0,0.0,0.0,0.0,1668050407.003701
234784866.0,0.0,0.0,0.0,0.0,0.0,1668050407.103887
234884696.0,0.0,0.0,0.0,0.0,0.0,1668050407.203717
234984855.0,0.0,0.0,0.0,0.0,0.0,1668050407.303876
235084853.0,0.0,0.0,0.0,0.0,0.0,1668050407.403874
235184869.0,0.0,0.0,0.0,0.0,0.0,1668050407.50389
235284752.0,0.0,0.0,0.0,0.0,0.0,1668050407.6037729
235384931.0,0.0,0.0,0.0,0.0,0.0,1668050407.703952
235484768.0,0.0,0.0,0.0,0.0,0.0,1668050407.803789
235584731.0,0.0,0.0,0.0,0.0,0.0,1668050407.903752
235684789.0,0.0,0.0,0.0,0.0,0.0,1668050408.00381
238397293.0,0.0,0.0,0.0,0.0,0.0,1668050410.716314
238496354.0,0.0,0.0,0.0,0.0,0.0,1668050410.815375
238596627.0,0.0,0.0,0.0,0.0,0.0,1668050410.915648
238696481.0,0.0,0.0,0.0,0.0,0.0,1668050411.015502
238796624.0,0.0,0.0,0.0,0.0,0.0,1668050411.115645
238896577.0,0.0,0.0,0.0,0.0,0.0,1668050411.2155979
238996750.0,0.0,0.0,0.0,0.0,0.0,1668050411.315771
239096599.0,0.0,0.0,0.0,0.0,0.0,1668050411.41562
239196549.0,0.0,0.0,0.0,0.0,0.0,1668050411.51557
239296561.0,0.0,0.0,0.0,0.0,0.0,1668050411.615582
239396612.0,0.0,0.0,0.0,0.0,0.0,1668050411.715633
239496765.0,0.0,0.0,0.0,0.0,0.0,1668050411.815786
239596642.0,0.0,0.0,0.0,0.0,0.0,1668050411.915663
239696699.0,0.0,0.0,0.0,0.0,0.0,1668050412.01572
239796614.0,0.0,0.0,0.0,0.0,0.0,1668050412.115635
239896422.0,0.0,0.0,0.0,0.0,0.0,1668050412.215443
239996825.0,0.0,0.0,0.0,0.0,0.0,1668050412.315846
240096493.0,0.0,0.0,0.0,0.0,0.0,1668050412.415514
240196567.0,0.0,0.0,0.0,0.0,0.0,1668050412.515588
240296575.0,0.0,0.0,0.0,0.0,0.0,1668050412.615596
240396677.0,0.0,0.0,0.0,0.0,0.0,1668050412.715698
240496512.0,0.0,0.0,0.0,0.0,0.0,1668050412.815533
240596472.0,0.0,0.0,0.0,0.0,0.0,1668050412.915493
240696375.0,0.0,0.0,0.0,0.0,0.0,1668050413.0153959
240796704.0,0.0,0.0,0.0,0.0,0.0,1668050413.115725
240896605.0,0.0,0.0,0.0,0.0,0.0,1668050413.215626
240996812.0,0.0,0.0,0.0,0.0,0.0,1668050413.315833
241096548.0,0.0,0.0,0.0,0.0,0.0,1668050413.415569
241196457.0,0.0,0.0,0.0,0.0,0.0,1668050413.515478
241296860.0,0.0,0.0,0.0,0.0,0.0,1668050413.615881
241396651.0,0.0,0.0,0.0,0.0,0.0,1668050413.715672
241496461.0,0.0,0.0,0.0,0.0,0.0,1668050413.815482
241596671.0,0.0,0.0,0.0,0.0,0.0,1668050413.915692
241696497.0,0.0,0.0,0.0,0.0,0.0,1668050414.015518
241796735.0,0.0,0.0,0.0,0.0,0.0,1668050414.115756
241896387.0,0.0,0.0,0.0,0.0,0.0,1668050414.215408
241996905.0,0.0,0.0,0.0,0.0,0.0,1668050414.315926
242096563.0,0.0,0.0,0.0,0.0,0.0,1668050414.415584
242196597.0,0.0,0.0,0.0,0.0,0.0,1668050414.515618
242296470.0,0.0,0.0,0.0,0.0,0.0,1668050414.615491
242396612.0,0.0,0.0,0.0,0.0,0.0,1668050414.715633
242496437.0,0.0,0.0,0.0,0.0,0.0,1668050414.815458
242596437.0,0.0,0.0,0.0,0.0,0.0,1668050414.915458
242696604.0,0.0,0.0,0.0,0.0,0.0,1668050415.015625
242796902.0,0.0,0.0,0.0,0.0,0.0,1668050415.115923
242896598.0,0.0,0.0,0.0,0.0,0.0,1668050415.215619
242996782.0,0.0,0.0,0.0,0.0,0.0,1668050415.315803
243096678.0,0.0,0.0,0.0,0.0,0.0,1668050415.415699
243196617.0,0.0,0.0,0.0,0.0,0.0,1668050415.5156379
243296545.0,0.0,0.0,0.0,0.0,0.0,1668050415.615566
243396732.0,0.0,0.0,0.0,0.0,0.0,1668050415.715753
246509111.0,0.0,0.0,0.0,0.0,0.0,1668050418.828132
246608668.0,0.0,0.0,0.0,0.0,0.0,1668050418.927689
246708465.0,0.0,0.0,0.0,0.0,0.0,1668050419.027486
246808703.0,0.0,0.0,0.0,0.0,0.0,1668050419.127724
246908620.0,0.0,0.0,0.0,0.0,0.0,1668050419.227641
247008895.0,0.0,0.0,0.0,0.0,0.0,1668050419.327916
247108749.0,0.0,0.0,0.0,0.0,0.0,1668050419.42777
247208635.0,0.0,0.0,0.0,0.0,0.0,1668050419.527656
247308781.0,0.0,0.0,0.0,0.0,0.0,1668050419.627802
247408436.0,0.0,0.0,0.0,0.0,0.0,1668050419.727457
247508691.0,0.0,0.0,0.0,0.0,0.0,1668050419.827712
247608697.0,0.0,0.0,0.0,0.0,0.0,1668050419.927718
247708708.0,0.0,0.0,0.0,0.0,0.0,1668050420.027729
247808510.0,0.0,0.0,0.0,0.0,0.0,1668050420.127531
247908502.0,0.0,0.0,0.0,0.0,0.0,1668050420.227523
248008759.0,0.0,0.0,0.0,0.0,0.0,1668050420.32778
248108378.0,0.0,0.0,0.0,0.0,0.0,1668050420.427399
248208649.0,0.0,0.0,0.0,0.0,0.0,1668050420.52767
248308612.0,0.0,0.0,0.0,0.0,0.0,1668050420.627633
248408691.0,0.0,0.0,0.0,0.0,0.0,1668050420.727712
248508426.0,0.0,0.0,0.0,0.0,0.0,1668050420.827447
248608672.0,0.0,0.0,0.0,0.0,0.0,1668050420.927693
248708482.0,0.0,0.0,0.0,0.0,0.0,1668050421.027503
248808799.0,0.0,0.0,0.0,0.0,0.0,1668050421.12782
248908397.0,0.0,0.0,0.0,0.0,0.0,1668050421.227418
249008699.0,0.0,0.0,0.0,0.0,0.0,1668050421.32772
249108424.0,0.0,0.0,0.0,0.0,0.0,1668050421.427445
249208672.0,0.0,0.0,0.0,0.0,0.0,1668050421.527693
249308671.0,0.0,0.0,0.0,0.0,0.0,1668050421.627692
249408818.0,0.0,0.0,0.0,0.0,0.0,1668050421.727839
249508646.0,0.0,0.0,0.0,0.0,0.0,1668050421.827667
249608644.0,0.0,0.0,0.0,0.0,0.0,1668050421.927665
249708748.0,0.0,0.0,0.0,0.0,0.0,1668050422.027769
249808660.0,0.0,0.0,0.0,0.0,0.0,1668050422.127681
252821058.0,0.0,0.0,0.0,0.0,0.0,1668050425.140079
252920231.0,0.0,0.0,0.0,0.0,0.0,1668050425.239252
253020687.0,0.0,0.0,0.0,0.0,0.0,1668050425.339708
253120313.0,0.0,0.0,0.0,0.0,0.0,1668050425.439334
253220394.0,0.0,0.0,0.0,0.0,0.0,1668050425.539415
253320272.0,0.0,0.0,0.0,0.0,0.0,1668050425.639293
253420319.0,0.0,0.0,0.0,0.0,0.0,1668050425.73934
253520251.0,0.0,0.0,0.0,0.0,0.0,1668050425.839272
253620298.0,0.0,0.0,0.0,0.0,0.0,1668050425.939319
253720221.0,0.0,0.0,0.0,0.0,0.0,1668050426.039242
253820395.0,0.0,0.0,0.0,0.0,0.0,1668050426.139416
253920369.0,0.0,0.0,0.0,0.0,0.0,1668050426.23939
254020663.0,0.0,0.0,0.0,0.0,0.0,1668050426.339684
254120220.0,0.0,0.0,0.0,0.0,0.0,1668050426.439241
254220364.0,0.0,0.0,0.0,0.0,0.0,1668050426.539385
254320224.0,0.0,0.0,0.0,0.0,0.0,1668050426.639245
254420366.0,0.0,0.0,0.0,0.0,0.0,1668050426.739387
254520220.0,0.0,0.0,0.0,0.0,0.0,1668050426.839241
254620406.0,0.0,0.0,0.0,0.0,0.0,1668050426.939427
254720454.0,0.0,0.0,0.0,0.0,0.0,1668050427.039475
254820481.0,0.0,0.0,0.0,0.0,0.0,1668050427.139502
254920282.0,0.0,0.0,0.0,0.0,0.0,1668050427.2393029
255020559.0,0.0,0.0,0.0,0.0,0.0,1668050427.33958
255120280.0,0.0,0.0,0.0,0.0,0.0,1668050427.439301
255220292.0,0.0,0.0,0.0,0.0,0.0,1668050427.539313
255320264.0,0.0,0.0,0.0,0.0,0.0,1668050427.639285
255420371.0,0.0,0.0,0.0,0.0,0.0,1668050427.739392
255520234.0,0.0,0.0,0.0,0.0,0.0,1668050427.839255
258433219.0,0.0,0.0,0.0,0.0,0.0,1668050430.75224
258532598.0,0.0,0.0,0.0,0.0,0.0,1668050430.851619
258632578.0,0.0,0.0,0.0,0.0,0.0,1668050430.951599
258732247.0,0.0,0.0,0.0,0.0,0.0,1668050431.051268
