TimeUS,Id,Mult,timestamp
220910629.0,45.0,0.0,1668050393.22965
220910638.0,63.0,1.0,1668050393.229659
220910648.0,50.0,100.0,1668050393.229669
220910667.0,49.0,10.0,1668050393.229688
220910677.0,48.0,1.0,1668050393.229698
220910686.0,65.0,0.10000000149011612,1668050393.229707
220910695.0,66.0,0.009999999776482582,1668050393.229716
220910705.0,67.0,0.0010000000474974513,1668050393.229726
220910767.0,68.0,9.999999747378752e-05,1668050393.229788
220910777.0,69.0,9.999999747378752e-06,1668050393.229798
220910787.0,70.0,9.999999974752427e-07,1668050393.229808
220910800.0,71.0,1.0000000116860974e-07,1668050393.229821
220910809.0,33.0,3.5999999046325684,1668050393.22983
220910818.0,47.0,3600.0,1668050393.229839
