TimeUS,Mem,TS,NPkt,Nerr,Nerr2,NDel,timestamp
221260526.0,336.0,225054.0,102882.0,0.0,0.0,0.0,1668050393.579547
222310531.0,336.0,226104.0,103391.0,0.0,0.0,0.0,1668050394.629552
223360532.0,336.0,227154.0,103898.0,0.0,0.0,0.0,1668050395.679553
227560034.0,336.0,231354.0,105924.0,0.0,0.0,0.0,1668050399.879055
228610004.0,336.0,232404.0,106433.0,0.0,0.0,0.0,1668050400.929025
229660016.0,336.0,233454.0,106940.0,0.0,0.0,0.0,1668050401.979037
233815982.0,336.0,237610.0,108946.0,0.0,0.0,0.0,1668050406.135003
234865987.0,336.0,238660.0,109453.0,0.0,0.0,0.0,1668050407.185008
239065587.0,336.0,242860.0,111481.0,0.0,0.0,0.0,1668050411.384608
240115559.0,336.0,243910.0,111988.0,0.0,0.0,0.0,1668050412.43458
241165570.0,336.0,244960.0,112495.0,0.0,0.0,0.0,1668050413.484591
242215561.0,336.0,246010.0,113002.0,0.0,0.0,0.0,1668050414.534582
243265565.0,336.0,247060.0,113509.0,0.0,0.0,0.0,1668050415.584586
247464938.0,336.0,251259.0,115541.0,0.0,0.0,0.0,1668050419.783959
248515379.0,336.0,252310.0,116048.0,0.0,0.0,0.0,1668050420.8344
249564940.0,336.0,253359.0,116554.0,0.0,0.0,0.0,1668050421.883961
253714375.0,336.0,257508.0,118559.0,0.0,0.0,0.0,1668050426.033396
254764382.0,336.0,258558.0,119066.0,0.0,0.0,0.0,1668050427.0834029
258961494.0,336.0,262756.0,121094.0,0.0,0.0,0.0,1668050431.280515
260011506.0,336.0,263806.0,121600.0,0.0,0.0,0.0,1668050432.330527
261061506.0,336.0,264856.0,122107.0,0.0,0.0,0.0,1668050433.380527
262111503.0,336.0,265906.0,122614.0,0.0,0.0,0.0,1668050434.4305239
263161507.0,336.0,266956.0,123120.0,0.0,0.0,0.0,1668050435.4805279
264211510.0,336.0,268006.0,123627.0,0.0,0.0,0.0,1668050436.530531
265261508.0,336.0,269056.0,124134.0,0.0,0.0,0.0,1668050437.580529
266311503.0,336.0,270106.0,124640.0,0.0,0.0,0.0,1668050438.630524
267361514.0,336.0,271156.0,125148.0,0.0,0.0,0.0,1668050439.680535
268411494.0,336.0,272206.0,125655.0,0.0,0.0,0.0,1668050440.730515
269461505.0,336.0,273256.0,126162.0,0.0,0.0,0.0,1668050441.780526
270511495.0,336.0,274306.0,126669.0,0.0,0.0,0.0,1668050442.830516
271561507.0,336.0,275356.0,127176.0,0.0,0.0,0.0,1668050443.880528
272611511.0,336.0,276406.0,127682.0,0.0,0.0,0.0,1668050444.930532
274709511.0,336.0,278504.0,128698.0,0.0,0.0,0.0,1668050447.028532
275759007.0,336.0,279553.0,129205.0,0.0,0.0,0.0,1668050448.078028
276809014.0,336.0,280603.0,129712.0,0.0,0.0,0.0,1668050449.128035
277859448.0,336.0,281654.0,130219.0,0.0,0.0,0.0,1668050450.178469
278909014.0,336.0,282703.0,130725.0,0.0,0.0,0.0,1668050451.228035
279959026.0,336.0,283753.0,131233.0,0.0,0.0,0.0,1668050452.278047
281009455.0,336.0,284804.0,131740.0,0.0,0.0,0.0,1668050453.328476
282059024.0,336.0,285853.0,132246.0,0.0,0.0,0.0,1668050454.378045
283109026.0,336.0,286903.0,132753.0,0.0,0.0,0.0,1668050455.428047
284159474.0,336.0,287954.0,133260.0,0.0,0.0,0.0,1668050456.478495
285209014.0,336.0,289003.0,133766.0,0.0,0.0,0.0,1668050457.528035
286259018.0,336.0,290053.0,134273.0,0.0,0.0,0.0,1668050458.578039
287309492.0,336.0,291104.0,134780.0,0.0,0.0,0.0,1668050459.628513
288359033.0,336.0,292153.0,135286.0,0.0,0.0,0.0,1668050460.678054
289409023.0,336.0,293203.0,135793.0,0.0,0.0,0.0,1668050461.728044
290458303.0,336.0,294253.0,136294.0,0.0,0.0,0.0,1668050462.777324
291508312.0,336.0,295303.0,136804.0,0.0,0.0,0.0,1668050463.827333
292558306.0,336.0,296353.0,137311.0,0.0,0.0,0.0,1668050464.877327
293608304.0,336.0,297403.0,137817.0,0.0,0.0,0.0,1668050465.927325
294658311.0,336.0,298453.0,138324.0,0.0,0.0,0.0,1668050466.9773319
295708309.0,336.0,299503.0,138831.0,0.0,0.0,0.0,1668050468.02733
296758308.0,336.0,300553.0,139339.0,0.0,0.0,0.0,1668050469.077329
297808341.0,336.0,301603.0,139846.0,0.0,0.0,0.0,1668050470.127362
298858310.0,336.0,302653.0,140353.0,0.0,0.0,0.0,1668050471.177331
299908321.0,336.0,303703.0,140859.0,0.0,0.0,0.0,1668050472.227342
300958348.0,336.0,304753.0,141366.0,0.0,0.0,0.0,1668050473.277369
302008315.0,336.0,305803.0,141873.0,0.0,0.0,0.0,1668050474.327336
303058327.0,336.0,306853.0,142379.0,0.0,0.0,0.0,1668050475.377348
304108328.0,336.0,307903.0,142886.0,0.0,0.0,0.0,1668050476.427349
305158326.0,336.0,308953.0,143393.0,0.0,0.0,0.0,1668050477.477347
306208334.0,336.0,310003.0,143899.0,0.0,0.0,0.0,1668050478.527355
307258324.0,336.0,311053.0,144406.0,0.0,0.0,0.0,1668050479.577345
