TimeUS,Vcc,VServo,Flags,Safety,timestamp
221040774.0,4.982226371765137,5.182000160217285,7.0,2.0,1668050393.359795
221158465.0,4.990283012390137,5.177000045776367,7.0,2.0,1668050393.477486
221258422.0,5.012841701507568,5.182000160217285,7.0,2.0,1668050393.577443
221358439.0,5.017675876617432,5.184000015258789,7.0,2.0,1668050393.67746
221458415.0,5.012841701507568,5.182000160217285,7.0,2.0,1668050393.777436
221558774.0,5.014452934265137,5.184000015258789,7.0,2.0,1668050393.877795
221658338.0,5.020898342132568,5.182000160217285,7.0,2.0,1668050393.977359
221758628.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050394.0776489
221858830.0,5.020898342132568,5.182000160217285,7.0,2.0,1668050394.177851
221958679.0,5.017675876617432,5.179000377655029,7.0,2.0,1668050394.2777
222058649.0,5.012841701507568,5.182000160217285,7.0,2.0,1668050394.37767
222158481.0,5.017675876617432,5.184000015258789,7.0,2.0,1668050394.4775019
222258750.0,5.012841701507568,5.179000377655029,7.0,2.0,1668050394.577771
222358471.0,5.016064167022705,5.182000160217285,7.0,2.0,1668050394.677492
222458766.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050394.777787
222558486.0,5.017675876617432,5.184000015258789,7.0,2.0,1668050394.877507
222658732.0,5.020898342132568,5.184000015258789,7.0,2.0,1668050394.977753
222758591.0,5.020898342132568,5.182000160217285,7.0,2.0,1668050395.077612
222858361.0,5.019287109375,5.184000015258789,7.0,2.0,1668050395.177382
222958848.0,5.019287109375,5.186000347137451,7.0,2.0,1668050395.277869
223058814.0,5.016064167022705,5.182000160217285,7.0,2.0,1668050395.377835
223158755.0,5.014452934265137,5.179000377655029,7.0,2.0,1668050395.477776
223258871.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050395.577892
223358447.0,5.012841701507568,5.184000015258789,7.0,2.0,1668050395.677468
223458622.0,5.014452934265137,5.182000160217285,7.0,2.0,1668050395.777643
223558689.0,5.020898342132568,5.177000045776367,7.0,2.0,1668050395.87771
223658658.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050395.977679
223758390.0,5.022509574890137,5.182000160217285,7.0,2.0,1668050396.077411
223858681.0,5.020898342132568,5.182000160217285,7.0,2.0,1668050396.177702
223958481.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050396.277502
224058702.0,5.012841701507568,5.182000160217285,7.0,2.0,1668050396.377723
224158751.0,5.012841701507568,5.184000015258789,7.0,2.0,1668050396.477772
224258757.0,5.014452934265137,5.184000015258789,7.0,2.0,1668050396.577778
224358685.0,5.014452934265137,5.182000160217285,7.0,2.0,1668050396.677706
227258428.0,4.993505954742432,5.179000377655029,7.0,2.0,1668050399.577449
227370742.0,4.996728420257568,5.182000160217285,7.0,2.0,1668050399.689763
227470666.0,4.996728420257568,5.184000015258789,7.0,2.0,1668050399.789687
227571001.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050399.890022
227670333.0,5.020898342132568,5.184000015258789,7.0,2.0,1668050399.989354
227770531.0,5.019287109375,5.184000015258789,7.0,2.0,1668050400.089552
227870391.0,5.020898342132568,5.184000015258789,7.0,2.0,1668050400.1894119
227970503.0,5.022509574890137,5.184000015258789,7.0,2.0,1668050400.289524
228070824.0,5.012841701507568,5.186000347137451,7.0,2.0,1668050400.389845
228170416.0,5.012841701507568,5.186000347137451,7.0,2.0,1668050400.489437
228270423.0,5.016064167022705,5.184000015258789,7.0,2.0,1668050400.589444
228370662.0,5.012841701507568,5.182000160217285,7.0,2.0,1668050400.689683
228470748.0,5.016064167022705,5.182000160217285,7.0,2.0,1668050400.789769
228570811.0,5.017675876617432,5.184000015258789,7.0,2.0,1668050400.889832
228670845.0,5.019287109375,5.184000015258789,7.0,2.0,1668050400.989866
228770689.0,5.020898342132568,5.186000347137451,7.0,2.0,1668050401.08971
228870478.0,5.016064167022705,5.182000160217285,7.0,2.0,1668050401.189499
228970795.0,5.020898342132568,5.184000015258789,7.0,2.0,1668050401.289816
229070787.0,4.993505954742432,5.184000015258789,7.0,2.0,1668050401.389808
229170892.0,4.988671779632568,5.184000015258789,7.0,2.0,1668050401.489913
229270659.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050401.58968
229370714.0,5.001562595367432,5.184000015258789,7.0,2.0,1668050401.689735
229470320.0,4.991894245147705,5.182000160217285,7.0,2.0,1668050401.789341
229570757.0,4.991894245147705,5.184000015258789,7.0,2.0,1668050401.889778
229670855.0,4.999950885772705,5.182000160217285,7.0,2.0,1668050401.989876
229770613.0,5.017675876617432,5.182000160217285,7.0,2.0,1668050402.089634
229870571.0,5.022509574890137,5.184000015258789,7.0,2.0,1668050402.189592
229970683.0,5.019287109375,5.184000015258789,7.0,2.0,1668050402.289704
230070766.0,5.012841701507568,5.184000015258789,7.0,2.0,1668050402.389787
233070719.0,4.990283012390137,5.184000015258789,7.0,2.0,1668050405.38974
233183795.0,4.996728420257568,5.184000015258789,7.0,2.0,1668050405.502816
233283894.0,4.991894245147705,5.182000160217285,7.0,2.0,1668050405.602915
233384111.0,5.016064167022705,5.184000015258789,7.0,2.0,1668050405.703132
233483904.0,5.017675876617432,5.184000015258789,7.0,2.0,1668050405.8029249
233583945.0,5.016064167022705,5.184000015258789,7.0,2.0,1668050405.902966
