TimeUS,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos,timestamp
221061371.0,0.0,0.0,0.0,0.0,0.19,0.05,-0.05,0.25,0.15,0.0017064859857782722,0.09582342207431793,0.29037415981292725,1668050393.380392
221161071.0,0.0,0.0,0.0,0.0,0.2,0.05,-0.05,0.25,0.15,0.0022335415706038475,0.09216751903295517,0.28486666083335876,1668050393.480092
221261242.0,0.0,0.0,0.0,0.0,0.2,0.05,-0.01,0.22,0.15,0.0022228111047297716,0.05869531258940697,0.18770736455917358,1668050393.580263
221360975.0,0.0,0.0,0.0,0.0,0.27,0.05,0.03,0.22,0.15,0.002564429072663188,0.05968606099486351,0.19677211344242096,1668050393.679996
221460978.0,0.0,0.0,0.0,0.0,0.31,0.05,0.03,0.25,0.14,0.0024275833275169134,0.043440185487270355,0.14732009172439575,1668050393.779999
221561014.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.05,0.14,0.22,0.14,0.0021643759682774544,0.030665939673781395,0.10626930743455887,1668050393.880035
221660945.0,0.0,0.0,0.0,0.0,0.39,0.05,0.14,0.22,0.14,0.0017641709418967366,0.02070501446723938,0.07336146384477615,1668050393.979966
221761012.0,0.0,0.0,0.0,0.0,0.42,0.03,0.2,0.22,0.14,0.0013719929847866297,0.013080722652375698,0.04797971993684769,1668050394.080033
221860934.0,0.0,0.0,0.0,0.0,0.45,0.03,0.2,0.22,0.14,0.001022581709548831,0.007327517960220575,0.02995147928595543,1668050394.179955
221961391.0,0.0,0.0,0.0,0.0,0.48,0.02,0.26,0.22,0.14,0.0007464755326509476,0.0031047770753502846,0.017298607155680656,1668050394.280412
222060979.0,0.0,0.0,0.0,0.0,0.52,0.02,0.26,0.22,0.14,0.0005457715014927089,0.0016082674264907837,0.01528492383658886,1668050394.3799999
222160989.0,0.0,0.0,0.0,0.0,0.55,0.0,0.32,0.22,0.14,0.0004138911608606577,0.0032348434906452894,0.01862841099500656,1668050394.48001
222260953.0,0.0,0.0,0.0,0.0,0.59,0.0,0.32,0.22,0.14,0.00033777873613871634,0.004626463633030653,0.02122550830245018,1668050394.579974
222361042.0,0.0,0.0,0.0,0.0,0.6,-0.01,0.38,0.22,0.15,0.00030300725484266877,0.005891722161322832,0.03105379268527031,1668050394.680063
222461056.0,0.0,0.0,0.0,0.0,0.61,-0.02,0.41000000000000003,0.22,0.15,0.0002966507454402745,0.006450005806982517,0.03408137336373329,1668050394.780077
222560996.0,0.0,0.0,0.0,0.0,0.65,-0.02,0.41000000000000003,0.22,0.15,0.0003074720734730363,0.006713891867548227,0.03655574843287468,1668050394.880017
222661040.0,0.0,0.0,0.0,0.0,0.66,-0.05,0.46,0.22,0.15,0.0003276528441347182,0.006744714919477701,0.038552865386009216,1668050394.980061
222760978.0,0.0,0.0,0.0,0.0,0.67,-0.07,0.42,0.25,0.14,0.00035169225884601474,0.0065277875401079655,0.03849324211478233,1668050395.079999
222861040.0,0.0,0.0,0.0,0.0,0.67,-0.09,0.45,0.25,0.14,0.000375803851056844,0.006642541382461786,0.045549627393484116,1668050395.180061
222961119.0,0.0,0.0,0.0,0.0,0.68,-0.11,0.49,0.22,0.14,0.000398758304072544,0.006115976255387068,0.042809318751096725,1668050395.28014
223061388.0,0.0,0.0,0.0,0.0,0.6900000000000001,-0.13,0.48,0.22,0.14,0.0004196513909846544,0.005722177214920521,0.042727645486593246,1668050395.380409
223161339.0,0.0,0.0,0.0,0.0,0.72,-0.13,0.48,0.22,0.14,0.00043830485083162785,0.005330220330506563,0.0426097996532917,1668050395.48036
223261168.0,0.0,0.0,0.0,0.0,0.72,-0.15,0.51,0.22,0.14,0.00045487468014471233,0.005094557069242001,0.04426614195108414,1668050395.580189
223361150.0,0.0,0.0,0.0,0.0,0.72,-0.17,0.53,0.22,0.14,0.00046959539758972824,0.0048943511210381985,0.045662980526685715,1668050395.680171
223460975.0,0.0,0.0,0.0,0.0,0.75,-0.17,0.53,0.22,0.14,0.00048270911793224514,0.004803842399269342,0.047584161162376404,1668050395.779996
223561006.0,0.0,0.0,0.0,0.0,0.73,-0.21,0.46,0.29,0.14,0.0004945252439938486,0.004575838800519705,0.04730086773633957,1668050395.880027
223661108.0,0.0,0.0,0.0,0.0,0.73,-0.23,0.43,0.32,0.14,0.0005052180495113134,0.004312040284276009,0.046074412763118744,1668050395.980129
223761073.0,0.0,0.0,0.0,0.0,0.74,-0.25,0.46,0.29,0.14,0.0005148235941305757,0.003891660599038005,0.04278520122170448,1668050396.080094
223861021.0,0.0,0.0,0.0,0.0,0.75,-0.27,0.52,0.25,0.13,0.0005239322199486196,0.003559883451089263,0.040014706552028656,1668050396.180042
223961027.0,0.0,0.0,0.0,0.0,0.75,-0.29,0.54,0.22,0.13,0.0005319106276147068,0.0036707872059196234,0.04127998650074005,1668050396.280048
224061456.0,0.0,0.0,0.0,0.0,0.74,-0.31,0.5700000000000001,0.19,0.13,0.0005388968274928629,0.0037214162293821573,0.041655659675598145,1668050396.380477
224161041.0,0.0,0.0,0.0,0.0,0.74,-0.33,0.55,0.19,0.13,0.0005448189913295209,0.00378806097432971,0.0419878251850605,1668050396.480062
224261012.0,0.0,0.0,0.0,0.0,0.74,-0.35000000000000003,0.56,0.19,0.13,0.0005496214726008475,0.0037379381246864796,0.0410471186041832,1668050396.580033
227273174.0,0.0,0.0,0.0,0.0,1.0,-0.93,0.8200000000000001,0.25,0.15,0.0017290596151724458,0.09692341834306717,0.2880973517894745,1668050399.592195
