TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw,timestamp
221062004.0,0.0058931391686201096,3.591544373193756e-05,0.0030445470474660397,0.001291185850277543,0.004683630540966988,1668050393.381025
221161613.0,0.005870665889233351,3.224191095796414e-05,0.0031044031493365765,0.0011434905463829637,0.004090478643774986,1668050393.480634
221261655.0,0.005867320578545332,2.7178024538443424e-05,0.002975198905915022,0.0010233016218990088,0.0033709234558045864,1668050393.580676
221361418.0,0.005894779227674007,2.3651593437534757e-05,0.0026882924139499664,0.0009026913321577013,0.002787928096950054,1668050393.680439
221461411.0,0.005862592253834009,2.0624996977858245e-05,0.0028626564890146255,0.0008358550840057433,0.002389084082096815,1668050393.780432
221561475.0,0.005770527757704258,2.2420104869524948e-05,0.002954955445602536,0.0007021243218332529,0.00198413641192019,1668050393.880496
221661407.0,0.005751770921051502,2.0797206161660142e-05,0.0027796116191893816,0.0006144134094938636,0.0016446078661829233,1668050393.980428
221761443.0,0.005692274775356054,3.5045857657678425e-05,0.003033113433048129,0.0006237624329514802,0.0015537416329607368,1668050394.080464
221861359.0,0.005710907746106386,4.8274247092194855e-05,0.0031560896895825863,0.0005429024458862841,0.0013248075265437365,1668050394.1803799
221961759.0,0.0055857691913843155,5.102951399749145e-05,0.003021733835339546,0.0004909314448013902,0.0011471015168353915,1668050394.28078
222061535.0,0.005647149868309498,4.763531615026295e-05,0.0032320229802280664,0.0004943132516928017,0.0010997061617672443,1668050394.3805559
222161496.0,0.005521209444850683,4.658948819269426e-05,0.0032289146911352873,0.0004530957667157054,0.000980768003500998,1668050394.480517
222261417.0,0.00561400456354022,4.3681626266334206e-05,0.003191881813108921,0.00041339077870361507,0.0008102735155262053,1668050394.580438
222361590.0,0.005495874211192131,4.1016457544174045e-05,0.003291563829407096,0.00035032001323997974,0.0010472711874172091,1668050394.680611
222461605.0,0.005601388402283192,4.296019324101508e-05,0.0032227765768766403,0.0003130410623271018,0.0009823361178860068,1668050394.780626
222561473.0,0.005509192124009132,4.504997923504561e-05,0.0032026427797973156,0.00026111354236491024,0.0008891114848665893,1668050394.8804939
222661589.0,0.005540539510548115,4.4427040847949684e-05,0.00320397294126451,0.00022730995260644704,0.001245057792402804,1668050394.98061
222761454.0,0.0056012943387031555,4.2802930693142116e-05,0.0031724011059850454,0.00019730890926439315,0.0010969467693939805,1668050395.080475
222861580.0,0.005502575077116489,4.10245920647867e-05,0.003199840895831585,0.00016758241690695286,0.0009447823977097869,1668050395.180601
222961540.0,0.005619954317808151,3.928136720787734e-05,0.00319069717079401,0.00016181287355720997,0.0012101928004994988,1668050395.280561
223061824.0,0.005541655700653791,3.670363003038801e-05,0.00312051922082901,0.0001474236196372658,0.0011119729606434703,1668050395.380845
223161802.0,0.005603486206382513,3.3494292438263074e-05,0.003157657338306308,0.00015011000505182892,0.0009526315261609852,1668050395.480823
223261608.0,0.005562617909163237,3.077677320106886e-05,0.003123294562101364,0.00015333261399064213,0.0011578386183828115,1668050395.5806289
