TimeUS,Avai,Idx,LIdx,CntT,MsgId,Rty,timestamp
221059525.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050393.378546
221159354.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050393.478375
221259262.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050393.578283
221359262.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050393.678283
221459340.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050393.778361
221559592.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050393.878613
221659059.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050393.97808
221759392.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.078413
221859491.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.178512
221959676.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.278697
222059506.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.378527
222159501.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.478522
222259563.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.578584
222359503.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.678524
222459536.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.778557
222559431.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.878452
222659498.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.978519
222759459.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.07848
222859125.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.178146
222959831.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.278852
223059487.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.378508
223159565.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.478586
223259574.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.578595
223359360.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.678381
223459346.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.778367
