TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,timestamp
220980979.0,3.0,357611300.0,2235.0,17.0,0.68,14.083778299999999,100.42014979999999,2.72,0.046000003814697266,0.0,0.07200000435113907,0.0,1.0,1668050393.3
221178796.0,3.0,357611500.0,2235.0,17.0,0.68,14.083778299999999,100.42014979999999,2.72,0.0650000050663948,0.0,0.003000000026077032,0.0,1.0,1668050393.497817
221278727.0,3.0,357611600.0,2235.0,17.0,0.68,14.0837782,100.42014979999999,2.71,0.07100000232458115,0.0,0.03800000250339508,0.0,1.0,1668050393.597748
221378716.0,3.0,357611700.0,2235.0,17.0,0.68,14.0837782,100.42014979999999,2.7,0.02500000037252903,0.0,0.11700000613927841,0.0,1.0,1668050393.697737
221578771.0,3.0,357611900.0,2235.0,17.0,0.68,14.0837782,100.42014979999999,2.68,0.04500000178813934,0.0,0.04200000315904617,0.0,1.0,1668050393.897792
221698676.0,3.0,357612000.0,2235.0,17.0,0.68,14.0837782,100.42014979999999,2.69,0.046000003814697266,0.0,0.11500000208616257,0.0,1.0,1668050394.017697
221878440.0,3.0,357612200.0,2235.0,17.0,0.68,14.0837782,100.42014979999999,2.68,0.017000000923871994,0.0,0.10000000149011612,0.0,1.0,1668050394.197461
221978725.0,3.0,357612300.0,2235.0,17.0,0.68,14.0837781,100.42014979999999,2.69,0.0430000014603138,0.0,0.04400000348687172,0.0,1.0,1668050394.297746
222078737.0,3.0,357612400.0,2235.0,17.0,0.68,14.0837781,100.4201499,2.69,0.06700000166893005,0.0,0.09300000220537186,0.0,1.0,1668050394.397758
222178705.0,3.0,357612500.0,2235.0,17.0,0.68,14.083777999999999,100.42014999999999,2.68,0.017000000923871994,0.0,0.1120000034570694,0.0,1.0,1668050394.497726
222278699.0,3.0,357612600.0,2235.0,17.0,0.68,14.083777999999999,100.42014999999999,2.68,0.04500000178813934,0.0,0.08000000566244125,0.0,1.0,1668050394.59772
222378592.0,3.0,357612700.0,2235.0,17.0,0.68,14.0837779,100.42014999999999,2.66,0.046000003814697266,0.0,0.03700000047683716,0.0,1.0,1668050394.697613
222478759.0,3.0,357612800.0,2235.0,17.0,0.68,14.0837779,100.42014999999999,2.65,0.052000001072883606,0.0,0.021000001579523087,0.0,1.0,1668050394.79778
222578654.0,3.0,357612900.0,2235.0,17.0,0.68,14.0837778,100.42014999999999,2.65,0.026000000536441803,0.0,0.03700000047683716,0.0,1.0,1668050394.897675
222678670.0,3.0,357613000.0,2235.0,17.0,0.68,14.0837778,100.42014999999999,2.62,0.04500000178813934,0.0,0.06300000101327896,0.0,1.0,1668050394.997691
222798611.0,3.0,357613100.0,2235.0,17.0,0.68,14.083777699999999,100.4201501,2.63,0.023000001907348633,0.0,0.021000001579523087,0.0,1.0,1668050395.117632
222978502.0,3.0,357613300.0,2235.0,17.0,0.68,14.083777699999999,100.4201501,2.62,0.05000000074505806,0.0,-0.07000000029802322,0.0,1.0,1668050395.297523
223058715.0,3.0,357613400.0,2235.0,17.0,0.68,14.0837776,100.4201501,2.62,0.04000000283122063,0.0,0.07100000232458115,0.0,1.0,1668050395.377736
223178639.0,3.0,357613500.0,2235.0,17.0,0.68,14.0837776,100.4201501,2.62,0.004000000189989805,0.0,0.027000000700354576,0.0,1.0,1668050395.49766
