TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv,timestamp
221513208.0,2.0,1641.0,63731.0,946.0,51113.0,24194.0,1668050393.832229
222515764.0,2.0,506.0,18145.0,45837.0,51107.0,48567.0,1668050394.834785
223518876.0,2.0,503.0,17935.0,45907.0,51123.0,48580.0,1668050395.837897
227527691.0,2.0,156.0,5504.0,45924.0,51168.0,48611.0,1668050399.8467119
228530603.0,2.0,498.0,17726.0,45843.0,50981.0,48505.0,1668050400.849624
229532943.0,2.0,497.0,17647.0,46293.0,51104.0,48739.0,1668050401.851964
233541097.0,2.0,251.0,8905.0,46054.0,51168.0,48442.0,1668050405.860118
234544228.0,2.0,502.0,17886.0,46072.0,51129.0,48762.0,1668050406.863249
235546382.0,2.0,499.0,17727.0,46095.0,51176.0,48624.0,1668050407.865403
238553180.0,2.0,106.0,3678.0,47363.0,51022.0,49204.0,1668050410.872201
239556060.0,2.0,502.0,17886.0,46235.0,51130.0,48712.0,1668050411.875081
240558682.0,2.0,499.0,17727.0,45980.0,51051.0,48659.0,1668050412.877703
241560983.0,2.0,501.0,17765.0,46036.0,51162.0,48736.0,1668050413.880004
242561018.0,2.0,497.0,17647.0,46092.0,51180.0,48625.0,1668050414.880039
246570440.0,2.0,66.0,2398.0,48572.0,50939.0,49766.0,1668050418.889461
247572877.0,2.0,499.0,17727.0,46147.0,51149.0,48505.0,1668050419.891898
248574910.0,2.0,499.0,17727.0,45925.0,51172.0,48614.0,1668050420.893931
249575162.0,2.0,497.0,17647.0,45948.0,51047.0,48525.0,1668050421.894183
253584744.0,2.0,404.0,14350.0,46010.0,51179.0,48810.0,1668050425.903765
254586931.0,2.0,499.0,17727.0,45934.0,51180.0,48658.0,1668050426.905952
255587136.0,2.0,499.0,17727.0,46214.0,51133.0,48661.0,1668050427.906157
258594504.0,2.0,104.0,3688.0,47085.0,50754.0,48951.0,1668050430.913525
259596864.0,2.0,499.0,17727.0,46196.0,51129.0,48758.0,1668050431.915885
260599272.0,2.0,499.0,17727.0,45941.0,51176.0,48646.0,1668050432.918293
261601700.0,2.0,501.0,17765.0,46330.0,51172.0,48927.0,1668050433.920721
262604554.0,2.0,497.0,17647.0,46073.0,51030.0,48495.0,1668050434.923575
263607196.0,2.0,502.0,17872.0,45901.0,51149.0,48708.0,1668050435.926217
