TimeUS,chan,txp,rxp,rxdp,flags,timestamp
220981242.0,1.0,13872.0,192.0,0.0,6.0,1668050393.300263
221983149.0,1.0,13971.0,193.0,0.0,6.0,1668050394.30217
222985592.0,1.0,14069.0,194.0,0.0,6.0,1668050395.3046129
223988435.0,1.0,14168.0,195.0,0.0,6.0,1668050396.307456
227994994.0,1.0,14565.0,201.0,0.0,6.0,1668050400.314015
228995003.0,1.0,14664.0,202.0,0.0,6.0,1668050401.314024
229997606.0,1.0,14762.0,203.0,0.0,6.0,1668050402.316627
234006251.0,1.0,15173.0,209.0,0.0,6.0,1668050406.325272
235008625.0,1.0,15276.0,210.0,0.0,6.0,1668050407.327646
239018395.0,1.0,15673.0,216.0,0.0,6.0,1668050411.337416
240020954.0,1.0,15772.0,217.0,0.0,6.0,1668050412.3399749
241022982.0,1.0,15871.0,218.0,0.0,6.0,1668050413.3420029
242023010.0,1.0,15969.0,219.0,0.0,6.0,1668050414.342031
243025682.0,1.0,16068.0,220.0,0.0,6.0,1668050415.344703
247034833.0,1.0,16469.0,226.0,0.0,6.0,1668050419.353854
248037519.0,1.0,16570.0,227.0,0.0,6.0,1668050420.35654
249040389.0,1.0,16673.0,228.0,0.0,6.0,1668050421.35941
253049505.0,1.0,17075.0,235.0,0.0,6.0,1668050425.368526
254052110.0,1.0,17173.0,235.0,0.0,6.0,1668050426.371131
255054783.0,1.0,17271.0,237.0,0.0,6.0,1668050427.373804
259064260.0,1.0,17669.0,243.0,0.0,6.0,1668050431.383281
260066897.0,1.0,17768.0,244.0,0.0,6.0,1668050432.385918
261069010.0,1.0,17866.0,245.0,0.0,6.0,1668050433.388031
262072151.0,1.0,17965.0,246.0,0.0,6.0,1668050434.391172
263074371.0,1.0,18063.0,247.0,0.0,6.0,1668050435.393392
264076817.0,1.0,18161.0,248.0,0.0,6.0,1668050436.395838
265079226.0,1.0,18259.0,249.0,0.0,6.0,1668050437.398247
266081784.0,1.0,18357.0,249.0,0.0,6.0,1668050438.400805
267084364.0,1.0,18456.0,251.0,0.0,6.0,1668050439.403385
268086809.0,1.0,18554.0,252.0,0.0,6.0,1668050440.40583
269089102.0,1.0,18652.0,253.0,0.0,6.0,1668050441.408123
270091774.0,1.0,18751.0,253.0,0.0,6.0,1668050442.410795
271094296.0,1.0,18849.0,255.0,0.0,6.0,1668050443.413317
272096935.0,1.0,18947.0,256.0,0.0,6.0,1668050444.415956
273099001.0,1.0,19047.0,257.0,0.0,6.0,1668050445.418022
275104251.0,1.0,19245.0,259.0,0.0,6.0,1668050447.423272
276106862.0,1.0,19343.0,260.0,0.0,6.0,1668050448.425883
277109034.0,1.0,19444.0,261.0,0.0,6.0,1668050449.428055
278111740.0,1.0,19544.0,262.0,0.0,6.0,1668050450.430761
279114266.0,1.0,19642.0,263.0,0.0,6.0,1668050451.433287
280117294.0,1.0,19741.0,264.0,0.0,6.0,1668050452.436315
281119096.0,1.0,19839.0,265.0,0.0,6.0,1668050453.438117
282121787.0,1.0,19937.0,266.0,0.0,6.0,1668050454.440808
283124831.0,1.0,20035.0,267.0,0.0,6.0,1668050455.443852
284126802.0,1.0,20134.0,268.0,0.0,6.0,1668050456.445823
285129051.0,1.0,20232.0,269.0,0.0,6.0,1668050457.448072
286132173.0,1.0,20330.0,270.0,0.0,6.0,1668050458.451194
287134303.0,1.0,20428.0,271.0,0.0,6.0,1668050459.453324
288136844.0,1.0,20526.0,272.0,0.0,6.0,1668050460.455865
289139091.0,1.0,20625.0,273.0,0.0,6.0,1668050461.458112
290140817.0,1.0,20727.0,274.0,0.0,6.0,1668050462.459838
291143909.0,1.0,20825.0,275.0,0.0,6.0,1668050463.46293
292146023.0,1.0,20923.0,276.0,0.0,6.0,1668050464.465044
293148712.0,1.0,21021.0,277.0,0.0,6.0,1668050465.467733
294150814.0,1.0,21119.0,278.0,0.0,6.0,1668050466.469835
295153331.0,1.0,21220.0,279.0,0.0,6.0,1668050467.472352
296156050.0,1.0,21319.0,280.0,0.0,6.0,1668050468.475071
297158690.0,1.0,21417.0,281.0,0.0,6.0,1668050469.477711
298160774.0,1.0,21515.0,282.0,0.0,6.0,1668050470.479795
299163756.0,1.0,21613.0,283.0,0.0,6.0,1668050471.4827769
