TimeUS,OfsX,OfsY,OfsZ,Var,Yaw,WVar,N,timestamp
349483862.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1668050521.802883
352083532.0,829.826416015625,-22.628509521484375,-117.44578552246094,431.7622985839844,342.444580078125,431.7622985839844,2.0,1668050524.402553
352183591.0,28.079050064086914,-53.6120719909668,-141.7357940673828,399.6567687988281,191.95899963378906,405.3445129394531,3.0,1668050524.5026119
352283585.0,26.29187774658203,-52.13640213012695,-142.05862426757812,370.0242919921875,191.96649169921875,380.4577331542969,4.0,1668050524.602606
353683832.0,24.592254638671875,-50.79067611694336,-142.35496520996094,342.6103820800781,191.9346160888672,356.9300537109375,5.0,1668050526.002853
354583671.0,44.69234848022461,18.211915969848633,-152.4176788330078,318.2651062011719,209.26522827148438,337.8592529296875,6.0,1668050526.902692
354683763.0,77.05397033691406,81.56291198730469,-158.83334350585938,297.0049743652344,227.79391479492188,329.7445373535156,7.0,1668050527.002784
354783568.0,75.22445678710938,82.27262115478516,-155.47830200195312,277.1313781738281,228.8609161376953,321.904052734375,8.0,1668050527.102589
355583607.0,73.5691146850586,82.92973327636719,-152.68075561523438,258.2772216796875,229.86924743652344,314.3435363769531,9.0,1668050527.902628
356583704.0,71.98693084716797,83.51290893554688,-149.87063598632812,240.89227294921875,238.53814697265625,315.7043762207031,10.0,1668050528.902725
357983763.0,70.3417739868164,84.03466033935547,-146.4938507080078,225.41317749023438,248.63455200195312,326.2985534667969,11.0,1668050530.302784
364683751.0,68.68702697753906,84.59004974365234,-142.58493041992188,211.66104125976562,257.7450866699219,343.3161926269531,12.0,1668050537.002772
365183557.0,66.06951141357422,85.07456970214844,-137.83352661132812,200.1744384765625,262.9056701660156,362.23199462890625,13.0,1668050537.502578
365583630.0,63.291603088378906,85.6445083618164,-133.81362915039062,189.0799560546875,272.054443359375,385.8862609863281,14.0,1668050537.902651
365883720.0,61.54852294921875,86.40252685546875,-129.7816162109375,178.41114807128906,285.3946228027344,416.2545471191406,15.0,1668050538.202741
366183566.0,60.71697998046875,87.39508056640625,-126.84890747070312,167.34410095214844,297.1294860839844,449.89178466796875,16.0,1668050538.502587
366483765.0,60.620357513427734,88.45849609375,-123.39109802246094,157.57550048828125,309.36187744140625,485.9195861816406,17.0,1668050538.8027859
366783844.0,60.96154022216797,89.68819427490234,-120.949951171875,147.72406005859375,321.6834411621094,523.3452758789062,18.0,1668050539.102865
367083505.0,61.70426940917969,91.25505828857422,-119.4713363647461,138.18496704101562,333.8243103027344,560.956298828125,19.0,1668050539.402526
367283774.0,63.46189498901367,92.97332000732422,-120.11580657958984,129.67123413085938,345.3405456542969,597.1014404296875,20.0,1668050539.602795
367483598.0,65.2796630859375,94.48502349853516,-119.95449829101562,121.66725158691406,352.6781005859375,628.8305053710938,21.0,1668050539.802619
367783532.0,87.61561584472656,92.3617935180664,-119.63398742675781,113.30701446533203,4.871978759765625,656.940185546875,22.0,1668050540.102553
368083626.0,86.60289001464844,91.79875946044922,-120.2176284790039,105.53986358642578,15.275177001953125,683.2938842773438,23.0,1668050540.402647
368383865.0,85.3087158203125,91.66181945800781,-121.38744354248047,98.84656524658203,25.715606689453125,707.4135131835938,24.0,1668050540.702886
368583870.0,84.40696716308594,91.42015838623047,-122.54894256591797,92.42901611328125,36.201751708984375,728.3167724609375,25.0,1668050540.902891
368783700.0,81.69984436035156,92.43587493896484,-124.3731689453125,88.45347595214844,43.28582763671875,746.9376220703125,26.0,1668050541.102721
368983837.0,79.98104858398438,92.76102447509766,-127.25567626953125,84.74897003173828,50.7169189453125,760.6046752929688,27.0,1668050541.3028579
369283546.0,79.04891967773438,93.06929779052734,-130.33560180664062,81.20166778564453,58.03575134277344,770.2535400390625,28.0,1668050541.602567
369583774.0,78.11324310302734,93.74703979492188,-134.70973205566406,79.22968292236328,68.69949340820312,778.3013916015625,29.0,1668050541.902795
369883659.0,76.73992156982422,94.58942413330078,-139.6534881591797,78.0909652709961,79.20907592773438,784.2827758789062,30.0,1668050542.2026799
370183933.0,75.48242950439453,95.59721374511719,-144.4830322265625,76.93499755859375,89.65754699707031,788.3341064453125,31.0,1668050542.502954
370383990.0,80.11843872070312,107.53424072265625,-146.50875854492188,76.85086059570312,97.28359985351562,791.3024291992188,32.0,1668050542.703011
370683560.0,79.90203857421875,107.9023666381836,-152.06629943847656,76.27671813964844,107.70694732666016,792.8329467773438,33.0,1668050543.002581
371083614.0,78.08391571044922,109.3760757446289,-157.06979370117188,75.69837188720703,119.56905364990234,793.1569213867188,34.0,1668050543.402635
371383810.0,73.82806396484375,112.21239471435547,-161.59864807128906,76.47386932373047,131.05226135253906,790.8311767578125,35.0,1668050543.702831
371683711.0,69.6053237915039,115.89913940429688,-164.9364013671875,76.88008117675781,140.95826721191406,787.533203125,36.0,1668050544.002732
371983899.0,66.18253326416016,121.0176010131836,-166.07003784179688,76.9906005859375,152.4767608642578,784.768798828125,37.0,1668050544.30292
372283548.0,63.472496032714844,128.6854705810547,-166.1520538330078,78.96444702148438,165.4398193359375,782.0477905273438,38.0,1668050544.602569
372583864.0,62.488182067871094,138.77503967285156,-164.379638671875,82.93853759765625,178.2619171142578,779.8224487304688,39.0,1668050544.902885
372883708.0,63.6898307800293,151.08566284179688,-161.2908935546875,89.05240631103516,190.9418182373047,777.2005615234375,40.0,1668050545.202729
373183765.0,75.80709838867188,154.57009887695312,-155.1495819091797,94.69137573242188,197.19493103027344,773.70166015625,41.0,1668050545.502786
373583974.0,80.17823028564453,166.9041748046875,-150.03111267089844,101.16722106933594,207.67874145507812,769.6184692382812,42.0,1668050545.9029949
373883552.0,93.03450775146484,167.05873107910156,-142.7740478515625,109.36200714111328,215.7950897216797,765.8931884765625,43.0,1668050546.202573
374283587.0,101.44352722167969,177.67921447753906,-136.85354614257812,115.39678192138672,225.7494354248047,761.71923828125,44.0,1668050546.602608
374583759.0,114.51427459716797,187.89166259765625,-129.87893676757812,124.1590347290039,239.98562622070312,758.4974975585938,45.0,1668050546.90278
374883579.0,126.84855651855469,181.9551544189453,-122.48704528808594,130.4468994140625,243.83253479003906,754.6571655273438,46.0,1668050547.2026
375183722.0,139.084716796875,187.06349182128906,-114.5251235961914,135.47760009765625,251.56927490234375,750.8199462890625,47.0,1668050547.502743
375483434.0,145.9908905029297,175.82888793945312,-107.37933349609375,138.11964416503906,255.2347412109375,747.5967407226562,48.0,1668050547.802455
375883428.0,157.59812927246094,175.6564483642578,-99.46575927734375,141.11936950683594,264.968505859375,744.8331298828125,49.0,1668050548.202449
376383796.0,163.56971740722656,159.9280242919922,-94.5167007446289,144.61898803710938,273.9479675292969,744.1305541992188,50.0,1668050548.702817
376983848.0,172.9154510498047,141.46450805664062,-92.47820281982422,153.67945861816406,285.41864013671875,743.8541870117188,51.0,1668050549.302869
377883511.0,192.29119873046875,133.78402709960938,-88.98857879638672,162.5177001953125,290.3722229003906,740.6720581054688,52.0,1668050550.202532
380983577.0,189.6773681640625,123.473388671875,-85.21076965332031,159.3300323486328,273.5798034667969,729.6263427734375,53.0,1668050553.302598
751679692.0,195.81285095214844,120.84150695800781,-83.23162078857422,153.5469512939453,275.1349792480469,718.9935913085938,54.0,1668050923.998713
