TimeUS,Type,Lat,Lng,Alt,timestamp
221001869.0,0.0,14.083787399999999,100.4201425,10.61,1668050393.32089
221001881.0,1.0,14.083787399999999,100.4201425,10.81,1668050393.3209019
274132203.0,0.0,14.083787399999999,100.4201425,10.61,1668050446.451224
274132250.0,1.0,14.083773599999999,100.4201523,10.61,1668050446.451271
295043909.0,0.0,14.083787399999999,100.4201425,10.61,1668050467.36293
295043916.0,1.0,14.083774799999999,100.4201487,10.66,1668050467.362937
738880162.0,0.0,14.083787399999999,100.4201425,10.61,1668050911.199183
738880169.0,1.0,14.083777099999999,100.4201482,10.42,1668050911.19919
969331988.0,0.0,14.083787399999999,100.4201425,10.61,1668051141.651009
969331995.0,1.0,14.083782699999999,100.42014809999999,10.65,1668051141.651016
