TimeUS,TPX,TPY,PX,PY,TVX,TVY,VX,VY,TAX,TAY,AX,AY,timestamp
395186794.0,82.33500671386719,74.58717346191406,82.37316131591797,74.70246887207031,-1.3005768060684204,-1.8003432750701904,-1.2768809795379639,-1.6588420867919922,-1.312859058380127,-1.8426563739776611,-1.3168412446975708,-1.4767707586288452,1668050567.505815
395287129.0,82.20310974121094,74.41374206542969,82.32327270507812,74.7678451538086,-1.4841049909591675,-2.1262431144714355,-1.3763784170150757,-1.6672613620758057,-1.1778335571289062,-2.348921298980713,-1.2101995944976807,-1.430838942527771,1668050567.60615
395386823.0,82.06233978271484,74.23257446289062,82.24459075927734,74.77069091796875,-1.6406843662261963,-2.399399757385254,-1.4625216722488403,-1.7454688549041748,-1.1579028367996216,-2.35880970954895,-0.9126940965652466,-1.65870201587677,1668050567.705844
395486824.0,81.91173553466797,74.0416259765625,82.17616271972656,74.81587982177734,-1.8126578330993652,-2.727832794189453,-1.538475513458252,-1.7786178588867188,-1.0218909978866577,-2.4208390712738037,-0.5548319816589355,-1.8905863761901855,1668050567.805845
395586875.0,81.75271606445312,73.84131622314453,82.08116912841797,74.79795837402344,-1.9575780630111694,-3.007021427154541,-1.5754320621490479,-1.8813287019729614,-1.0613605976104736,-2.403796434402466,-0.34156692028045654,-2.0257163047790527,1668050567.905896
395687027.0,81.58573150634766,73.63105010986328,81.99725341796875,74.81582641601562,-2.1169161796569824,-3.333416700363159,-1.605725646018982,-1.9610048532485962,-1.1292473077774048,-2.3726613521575928,-0.22557233273983002,-2.1625115871429443,1668050568.006048
395786787.0,81.41165161132812,73.4114990234375,81.89153289794922,74.76908111572266,-2.259002923965454,-3.603447437286377,-1.6278905868530273,-2.0843617916107178,-1.1909170150756836,-2.3423149585723877,-0.21297788619995117,-2.173877477645874,1668050568.105808
395886787.0,81.22980499267578,73.18172454833984,81.80270385742188,74.75473022460938,-2.424731731414795,-3.914940357208252,-1.629490613937378,-2.174241065979004,-1.249904990196228,-2.3113763332366943,-0.28630128502845764,-2.1773970127105713,1668050568.205808
395986871.0,81.04090881347656,72.94261932373047,81.69293975830078,74.67695617675781,-2.575439453125,-4.170428276062012,-1.664103627204895,-2.2963671684265137,-1.3059741258621216,-2.280165672302246,-0.38895750045776367,-2.146721839904785,1668050568.305892
396087451.0,80.87396240234375,72.7712631225586,81.59746551513672,74.63581085205078,-2.7198266983032227,-4.391900062561035,-1.6697521209716797,-2.3902182579040527,-1.4199166297912598,-2.2110087871551514,-0.5068626403808594,-2.107853651046753,1668050568.406472
396187511.0,80.76619720458984,72.7588882446289,81.50880432128906,74.61590576171875,-2.8184823989868164,-4.4665207862854,-1.7013572454452515,-2.44632887840271,-1.4238080978393555,-2.2085049152374268,-0.6058050990104675,-2.0179028511047363,1668050568.506532
396286802.0,80.65719604492188,72.74629211425781,81.41702270507812,74.5963363647461,-2.914430856704712,-4.538151264190674,-1.746847152709961,-2.4914462566375732,-1.375340223312378,-2.239009380340576,-0.714844822883606,-1.9432604312896729,1668050568.605823
396386723.0,80.53952026367188,72.7171630859375,81.31840515136719,74.55927276611328,-3.004741668701172,-4.614694595336914,-1.7822003364562988,-2.546926259994507,-1.343822717666626,-2.258066177368164,-0.7941139340400696,-1.9001506567001343,1668050568.705744
396486841.0,80.41630554199219,72.67474365234375,81.21320343017578,74.50912475585938,-3.0757648944854736,-4.7017598152160645,-1.8264843225479126,-2.600045919418335,-1.2040183544158936,-2.3356075286865234,-0.8126518130302429,-1.8960027694702148,1668050568.805862
396586815.0,80.26786041259766,72.56707763671875,81.08177185058594,74.39397430419922,-3.1210453510284424,-4.797845840454102,-1.8766920566558838,-2.6906912326812744,-1.1592330932617188,-2.358156442642212,-0.7851353287696838,-1.9404422044754028,1668050568.905836
396686966.0,80.1198501586914,72.45148468017578,80.94145965576172,74.27493286132812,-3.141425609588623,-4.903259754180908,-1.933998703956604,-2.76983642578125,-1.0986425876617432,-2.3869872093200684,-0.7159650325775146,-1.97187340259552,1668050569.005987
396786757.0,79.9518814086914,72.2795181274414,80.77899932861328,74.10047149658203,-3.1506521701812744,-5.011150360107422,-2.001199245452881,-2.8819916248321533,-1.030051827430725,-2.4173779487609863,-0.6494912505149841,-2.0249266624450684,1668050569.105778
396887248.0,79.788330078125,72.10638427734375,80.61676788330078,73.92674255371094,-3.1490063667297363,-5.121423244476318,-2.0658175945281982,-2.9903969764709473,-0.9494981169700623,-2.4501380920410156,-0.5915679931640625,-2.055492401123047,1668050569.206269
396986777.0,79.60774230957031,71.88262176513672,80.43584442138672,73.70313262939453,-3.139521837234497,-5.232010841369629,-2.1268672943115234,-3.114331007003784,-0.9043124318122864,-2.4671730995178223,-0.5410699248313904,-2.0967719554901123,1668050569.305798
397087218.0,79.43278503417969,71.65935516357422,80.25335693359375,73.48326873779297,-3.119434356689453,-5.345086097717285,-2.1578969955444336,-3.244227886199951,-0.8795161247253418,-2.476120710372925,-0.49016767740249634,-2.1345674991607666,1668050569.406239
397186731.0,79.24307250976562,71.38981628417969,80.05489349365234,73.21764373779297,-3.1014301776885986,-5.455388069152832,-2.2065014839172363,-3.3780901432037354,-0.9944581389427185,-2.432236671447754,-0.4369050860404968,-2.15964412689209,1668050569.505752
397286873.0,79.06063079833984,71.12810516357422,79.85628509521484,72.96302795410156,-3.086094617843628,-5.556111812591553,-2.2641913890838623,-3.498403549194336,-1.1001261472702026,-2.3863039016723633,-0.4449213445186615,-2.163623332977295,1668050569.605894
397386813.0,78.8624267578125,70.8258056640625,79.6429443359375,72.66580963134766,-3.0864994525909424,-5.624714374542236,-2.3042705059051514,-3.6355857849121094,-0.941136360168457,-2.453361988067627,-0.5227748155593872,-2.1216139793395996,1668050569.705834
397486888.0,78.66551208496094,70.5291519165039,79.4265365600586,72.37816619873047,-3.0880446434020996,-5.664758682250977,-2.3468127250671387,-3.752220869064331,-0.8808899521827698,-2.475632429122925,-0.6019085645675659,-2.107086181640625,1668050569.805909
397586788.0,78.45249938964844,70.19689178466797,79.19686126708984,72.05017852783203,-3.075178861618042,-5.660345554351807,-2.410045623779297,-3.8895134925842285,-0.8830316662788391,-2.4748692512512207,-0.5939885377883911,-2.1397087574005127,1668050569.905809
397686855.0,78.24087524414062,69.87051391601562,78.96675872802734,71.73037719726562,-3.03938889503479,-5.630544185638428,-2.4943788051605225,-4.009367942810059,-0.8078362345695496,-2.500424861907959,-0.5663776397705078,-2.141392230987549,1668050570.005876
397786849.0,78.01504516601562,69.50615692138672,78.72361755371094,71.37211608886719,-2.9777984619140625,-5.560399055480957,-2.54339599609375,-4.136308670043945,-0.4736720025539398,-2.2993364334106445,-0.5573629140853882,-2.1286771297454834,1668050570.10587
397887067.0,77.79469299316406,69.150634765625,78.48336791992188,71.0217514038086,-2.883317470550537,-5.442105770111084,-2.5707037448883057,-4.2522873878479,0.07581061869859695,-1.3761889934539795,-0.4900486171245575,-2.0908968448638916,1668050570.206088
397986900.0,77.58013153076172,68.80156707763672,78.23467254638672,70.63654327392578,-2.747528076171875,-5.239515781402588,-2.5523056983947754,-4.347564697265625,0.6184319257736206,-0.3619058132171631,-0.19492319226264954,-1.8290694952011108,1668050570.305921
398086848.0,77.3772201538086,68.4715347290039,77.99043273925781,70.26664733886719,-2.5793211460113525,-4.9927473068237305,-2.5464119911193848,-4.378446578979492,1.1529548168182373,0.6629642248153687,0.2994619607925415,-1.3035016059875488,1668050570.405869
398186868.0,77.1883544921875,68.16435241699219,77.74590301513672,69.87330627441406,-2.3726749420166016,-4.660781383514404,-2.4549641609191895,-4.348388671875,1.6354748010635376,1.6015545129776,0.849381148815155,-0.49157845973968506,1668050570.505889
398286838.0,77.01483154296875,67.88214874267578,77.51982116699219,69.50482940673828,-2.160989761352539,-4.315616130828857,-2.3167662620544434,-4.230431079864502,1.7495146989822388,1.9605920314788818,1.4126216173171997,0.5163794755935669,1668050570.605859
398386785.0,76.85758972167969,67.62645721435547,77.30146789550781,69.12931823730469,-1.9436405897140503,-3.941659688949585,-2.171166181564331,-4.044823169708252,1.6649187803268433,2.032921314239502,1.8446377515792847,1.4223556518554688,1668050570.705806
398486901.0,76.71522521972656,67.39497375488281,77.10679626464844,68.7911148071289,-1.7397223711013794,-3.5878000259399414,-2.0082736015319824,-3.774418830871582,1.6294137239456177,2.061488389968872,2.017543077468872,2.148202657699585,1668050570.805922
398586836.0,76.58721160888672,67.18711853027344,76.92534637451172,68.46245574951172,-1.5619595050811768,-3.2603394985198975,-1.791921615600586,-3.4591188430786133,1.3426002264022827,1.494630217552185,1.9724642038345337,2.57564115524292,1668050570.905857
398686923.0,76.46991729736328,66.99700164794922,76.7671127319336,68.18172454833984,-1.4225029945373535,-3.0073235034942627,-1.6134194135665894,-3.1116316318511963,0.9024897813796997,0.6673685908317566,1.7492029666900635,2.6794989109039307,1668050571.005944
398786771.0,76.36158752441406,66.82166290283203,76.62187194824219,67.9198989868164,-1.306112289428711,-2.790788412094116,-1.4426674842834473,-2.7775213718414307,0.769649863243103,0.21211174130439758,1.3306777477264404,2.395582914352417,1668050571.105792
398887634.0,76.26152038574219,66.65973663330078,76.49087524414062,67.69673156738281,-1.1758158206939697,-2.5680580139160156,-1.332968831062317,-2.4776597023010254,1.0266754627227783,0.35613295435905457,0.8629745841026306,1.7918081283569336,1668050571.206655
398986879.0,76.17253112792969,66.51581573486328,76.36807250976562,67.48550415039062,-1.039317011833191,-2.3342998027801514,-1.177860975265503,-2.2175111770629883,1.0241702795028687,0.18428069353103638,0.6378042697906494,1.0766701698303223,1668050571.3059
399086808.0,76.09300994873047,66.38719940185547,76.26605987548828,67.31084442138672,-0.9246567487716675,-2.139026403427124,-1.0984054803848267,-2.0213420391082764,1.0647944211959839,0.10423171520233154,0.7025327682495117,0.6197993159294128,1668050571.405829
399186963.0,76.02206420898438,66.27247619628906,76.18269348144531,67.15979766845703,-0.8295261263847351,-1.9688575267791748,-1.0196021795272827,-1.9096037149429321,1.077004313468933,0.2195790857076645,0.7916553616523743,0.2677658200263977,1668050571.505984
399286864.0,75.95907592773438,66.1706314086914,76.11412048339844,67.0128402709961,-0.7508499026298523,-1.8055245876312256,-0.9403790831565857,-1.8150032758712769,0.9569839835166931,0.3360935151576996,0.8889284133911133,0.108364999294281,1668050571.605885
399386959.0,75.90282440185547,66.07970428466797,76.04634857177734,66.85566711425781,-0.6737712025642395,-1.633264422416687,-0.8522405624389648,-1.7635042667388916,0.8324049115180969,0.5745330452919006,0.9305402636528015,0.08394572883844376,1668050571.70598
399486789.0,75.85287475585938,65.99893188476562,75.99668884277344,66.70484924316406,-0.6159439086914062,-1.4692232608795166,-0.7488989233970642,-1.7064193487167358,0.6974934935569763,0.7781704068183899,0.8924043774604797,0.1818905472755432,1668050571.80581
399586820.0,75.80841827392578,65.92706298828125,75.94805145263672,66.5473861694336,-0.559954822063446,-1.2998634576797485,-0.6606898903846741,-1.6543772220611572,0.5612837672233582,0.9451804161071777,0.8235676288604736,0.3623717427253723,1668050571.9058409
399686854.0,75.76876068115234,65.86295318603516,75.91416931152344,66.3951187133789,-0.519737184047699,-1.1373486518859863,-0.5774814486503601,-1.5770353078842163,0.44662368297576904,1.0988143682479858,0.7329995632171631,0.53159499168396,1668050572.0058749
399786831.0,75.73345184326172,65.80587005615234,75.87972259521484,66.2413330078125,-0.47943586111068726,-0.9740968942642212,-0.5247485637664795,-1.4931272268295288,0.3551119267940521,1.1921818256378174,0.637003481388092,0.721695601940155,1668050572.105852
399887354.0,75.7020034790039,65.75503540039062,75.85899353027344,66.09960174560547,-0.4536254107952118,-0.824146568775177,-0.46250638365745544,-1.404494285583496,0.28442734479904175,1.2695986032485962,0.5305044651031494,0.8571796417236328,1668050572.206375
399986782.0,75.67414093017578,65.7099838256836,75.83533477783203,65.96038818359375,-0.42530661821365356,-0.6773979663848877,-0.4250651001930237,-1.304375410079956,0.2297881841659546,1.2990899085998535,0.4077564775943756,0.9697107672691345,1668050572.305803
400086949.0,75.64920806884766,65.66966247558594,75.83499908447266,65.83891296386719,-0.4207782745361328,-0.5491569638252258,-0.3868550658226013,-1.1904250383377075,0.14510181546211243,1.304492473602295,0.3297732174396515,1.0317453145980835,1668050572.40597
400186805.0,75.6270980834961,65.6339111328125,75.82840728759766,65.72232055664062,-0.4104725420475006,-0.426567941904068,-0.3735610842704773,-1.070393443107605,0.0793381854891777,1.2719348669052124,0.2427758425474167,1.0670955181121826,1668050572.505826
400286780.0,75.60737609863281,65.60201263427734,75.83299255371094,65.61705017089844,-0.41179201006889343,-0.31602996587753296,-0.34234529733657837,-0.9703296422958374,0.04477567598223686,1.2689911127090454,0.16684922575950623,1.0696192979812622,1668050572.605801
400386836.0,75.58983612060547,65.57362365722656,75.82842254638672,65.5175552368164,-0.4043002724647522,-0.21183477342128754,-0.3603058159351349,-0.8552407622337341,0.05136973410844803,1.2617541551589966,0.08617732673883438,1.0532857179641724,1668050572.705857
400486785.0,75.57421875,65.54839324951172,75.8280258178711,65.42919158935547,-0.40131866931915283,-0.11927350610494614,-0.35624292492866516,-0.7511894106864929,0.08847350627183914,1.2542016506195068,-0.013537834398448467,1.0385664701461792,1668050572.805806
400586816.0,75.56031799316406,65.52592468261719,75.8172378540039,65.34719848632812,-0.3882025480270386,-0.03351842984557152,-0.37168750166893005,-0.650931715965271,0.15333238244056702,1.2491707801818848,-0.04874572157859802,1.0187565088272095,1668050572.905837
400686980.0,75.54789733886719,65.50585174560547,75.80601501464844,65.27932739257812,-0.374959796667099,0.03761846572160721,-0.39878925681114197,-0.551480770111084,0.24635931849479675,1.2167418003082275,-0.05904075875878334,1.0065871477127075,1668050573.006001
400786784.0,75.53691864013672,65.48809051513672,75.78440856933594,65.21772003173828,-0.35152366757392883,0.10218305140733719,-0.4085129201412201,-0.46512240171432495,0.35874319076538086,1.1842542886734009,-0.025487517938017845,0.9860044121742249,1668050573.105805
400887179.0,75.527099609375,65.47222137451172,75.76817321777344,65.16924285888672,-0.3336637318134308,0.15327438712120056,-0.43635794520378113,-0.3716091513633728,0.44168010354042053,1.129521131515503,0.060621488839387894,0.9598064422607422,1668050573.2062
400986746.0,75.51837921142578,65.45812225341797,75.7429428100586,65.12655639648438,-0.30699488520622253,0.19829709827899933,-0.4526592195034027,-0.29199716448783875,0.5061630010604858,1.0755971670150757,0.13161787390708923,0.9106352925300598,1668050573.305767
401086958.0,75.5105972290039,65.44551086425781,75.72372436523438,65.09710693359375,-0.2864646911621094,0.2298334836959839,-0.45091545581817627,-0.2091200202703476,0.5523719191551208,1.0006673336029053,0.21591876447200775,0.861301839351654,1668050573.405979
401186743.0,75.50370025634766,65.43437957763672,75.69721984863281,65.07261657714844,-0.2588404715061188,0.2561584711074829,-0.4515022933483124,-0.13521413505077362,0.5846933126449585,0.9183289408683777,0.296286016702652,0.8149322271347046,1668050573.505764
401287016.0,75.4975357055664,65.42436218261719,75.68128967285156,65.05643463134766,-0.24189771711826324,0.2739288806915283,-0.42478492856025696,-0.06882832199335098,0.585507333278656,0.8486471176147461,0.35707321763038635,0.7408139109611511,1668050573.606037
401386750.0,75.4920654296875,65.41551971435547,75.65957641601562,65.04415130615234,-0.21928294003009796,0.28766438364982605,-0.42770588397979736,-0.010355295613408089,0.5608940720558167,0.7809929251670837,0.42656004428863525,0.6717231869697571,1668050573.705771
401486804.0,75.48719024658203,65.40762329101562,75.64631652832031,65.03971099853516,-0.20519523322582245,0.2934289574623108,-0.37819361686706543,0.04349232092499733,0.53005051612854,0.7209121584892273,0.4488834738731384,0.5907874703407288,1668050573.805825
401586923.0,75.48280334472656,65.40055084228516,75.62800598144531,65.03800201416016,-0.18770356476306915,0.29357174038887024,-0.366314560174942,0.08328602463006973,0.46665096282958984,0.4907342493534088,0.46321186423301697,0.5248810648918152,1668050573.9059439
