TimeUS,Name,Value,timestamp
220916207,RELAY_PIN3,-1.0,1668050393.235228
220916224,RELAY_PIN4,-1.0,1668050393.235245
220916240,RELAY_DEFAULT,0.0,1668050393.235261
220916274,RELAY_PIN5,-1.0,1668050393.235295
220916292,RELAY_PIN6,-1.0,1668050393.235313
220916430,CHUTE_ENABLED,0.0,1668050393.235451
220916450,LGR_STARTUP,0.0,1668050393.235471
220916465,LGR_DEPLOY_PIN,-1.0,1668050393.235486
220916484,LGR_DEPLOY_POL,0.0,1668050393.235505
220916501,LGR_WOW_PIN,-1.0,1668050393.235522
220916517,LGR_WOW_POL,0.0,1668050393.235538
220916533,LGR_DEPLOY_ALT,0.0,1668050393.235554
220916592,LGR_RETRACT_ALT,0.0,1668050393.2356129
220916609,LGR_OPTIONS,3.0,1668050393.23563
220916627,COMPASS_OFS_X,0.0,1668050393.235648
220916642,COMPASS_OFS_Y,0.0,1668050393.235663
220916657,COMPASS_OFS_Z,0.0,1668050393.235678
220916673,COMPASS_DEC,-0.010822135023772717,1668050393.235694
220916696,COMPASS_LEARN,3.0,1668050393.235717
220916770,COMPASS_USE,1.0,1668050393.235791
220916789,COMPASS_AUTODEC,1.0,1668050393.23581
220916806,COMPASS_MOTCT,0.0,1668050393.235827
220916824,COMPASS_MOT_X,0.0,1668050393.235845
220916841,COMPASS_MOT_Y,0.0,1668050393.235862
220916857,COMPASS_MOT_Z,0.0,1668050393.235878
220916912,COMPASS_ORIENT,0.0,1668050393.235933
220917017,COMPASS_EXTERNAL,1.0,1668050393.236038
220917037,COMPASS_OFS2_X,0.0,1668050393.236058
220917054,COMPASS_OFS2_Y,0.0,1668050393.236075
220917071,COMPASS_OFS2_Z,0.0,1668050393.236092
220917090,COMPASS_MOT2_X,0.0,1668050393.236111
220917147,COMPASS_MOT2_Y,0.0,1668050393.236168
220917205,COMPASS_MOT2_Z,0.0,1668050393.236226
220917227,COMPASS_OFS3_X,0.0,1668050393.236248
220917245,COMPASS_OFS3_Y,0.0,1668050393.236266
220917262,COMPASS_OFS3_Z,0.0,1668050393.236283
220917398,COMPASS_MOT3_X,0.0,1668050393.236419
220917418,COMPASS_MOT3_Y,0.0,1668050393.236439
220917436,COMPASS_MOT3_Z,0.0,1668050393.2364569
220917453,COMPASS_DEV_ID,658953.0,1668050393.236474
