TimeUS,NLon,NLoop,MaxT,Mem,Load,IntE,IntEC,SPIC,I2CC,I2CI,ExUS,timestamp
838420836.0,0.0,4000.0,2600.0,276624.0,455.0,0.0,0.0,11710230.0,289476.0,428919.0,0.0,1668051010.739857
848420923.0,0.0,4000.0,2589.0,276624.0,450.0,0.0,0.0,11849863.0,292793.0,433893.0,0.0,1668051020.739944
858420878.0,0.0,4000.0,2590.0,276624.0,451.0,0.0,0.0,11989357.0,296114.0,438876.0,0.0,1668051030.739899
868420989.0,0.0,4000.0,2594.0,276624.0,458.0,0.0,0.0,12128886.0,299442.0,443868.0,0.0,1668051040.74001
878420766.0,0.0,4000.0,2583.0,276624.0,491.0,0.0,0.0,12268486.0,302746.0,448824.0,0.0,1668051050.739787
888420849.0,0.0,4000.0,2601.0,276624.0,492.0,0.0,0.0,12408087.0,306050.0,453780.0,0.0,1668051060.73987
898420690.0,0.0,4000.0,2602.0,276624.0,496.0,0.0,0.0,12547591.0,309354.0,458736.0,0.0,1668051070.739711
908420836.0,0.0,4000.0,2606.0,276624.0,498.0,0.0,0.0,12687152.0,312662.0,463698.0,0.0,1668051080.739857
918420797.0,0.0,4000.0,2575.0,276624.0,503.0,0.0,0.0,12826735.0,315963.0,468648.0,0.0,1668051090.739818
928420859.0,0.0,4000.0,2590.0,276624.0,493.0,0.0,0.0,12966360.0,319258.0,473591.0,0.0,1668051100.73988
938420837.0,0.0,4000.0,2570.0,276624.0,496.0,0.0,0.0,13106030.0,322556.0,478539.0,0.0,1668051110.739858
948420785.0,0.0,4000.0,2589.0,276624.0,483.0,0.0,0.0,13245684.0,325860.0,483494.0,0.0,1668051120.739806
958432803.0,1.0,4000.0,14230.0,276624.0,456.0,0.0,0.0,13385944.0,329424.0,488712.0,0.0,1668051130.751824
978431930.0,0.0,4000.0,2600.0,276624.0,500.0,0.0,0.0,13666095.0,336328.0,498903.0,0.0,1668051150.750951
988431994.0,0.0,4000.0,2584.0,276624.0,523.0,0.0,0.0,13806034.0,339542.0,503724.0,0.0,1668051160.751015
992272613.0,0.0,1536.0,2579.0,276624.0,510.0,0.0,0.0,13859721.0,340776.0,505575.0,0.0,1668051164.591634
1002272515.0,0.0,4000.0,2728.0,276624.0,510.0,0.0,0.0,13999705.0,343990.0,510396.0,0.0,1668051174.591536
1012272792.0,0.0,4000.0,2597.0,276624.0,499.0,0.0,0.0,14139611.0,347214.0,515231.0,0.0,1668051184.591813
1022272366.0,0.0,4000.0,2610.0,276624.0,526.0,0.0,0.0,14279562.0,350432.0,520059.0,0.0,1668051194.591387
1032272131.0,0.0,4000.0,2580.0,276624.0,528.0,0.0,0.0,14419581.0,353645.0,524877.0,0.0,1668051204.591152
1042272126.0,0.0,4000.0,2601.0,276624.0,523.0,0.0,0.0,14559422.0,356868.0,529713.0,0.0,1668051214.591147
1052272295.0,0.0,4000.0,2598.0,276624.0,528.0,0.0,0.0,14699441.0,360090.0,534546.0,0.0,1668051224.591316
1062272169.0,0.0,4000.0,2589.0,276624.0,523.0,0.0,0.0,14839403.0,363326.0,539400.0,0.0,1668051234.59119
1072272113.0,0.0,4000.0,2570.0,276624.0,522.0,0.0,0.0,14979267.0,366560.0,544251.0,0.0,1668051244.591134
1082272327.0,0.0,4000.0,2611.0,276624.0,520.0,0.0,0.0,15119307.0,369795.0,549102.0,0.0,1668051254.591348
1092272043.0,0.0,4000.0,2598.0,276624.0,529.0,0.0,0.0,15259121.0,373032.0,553959.0,0.0,1668051264.591064
1102272278.0,0.0,4000.0,2594.0,276624.0,522.0,0.0,0.0,15399146.0,376266.0,558810.0,0.0,1668051274.591299
1112272139.0,0.0,4000.0,2590.0,276624.0,517.0,0.0,0.0,15539013.0,379492.0,563649.0,0.0,1668051284.59116
1122271954.0,0.0,4000.0,2589.0,276624.0,512.0,0.0,0.0,15679100.0,382728.0,568503.0,0.0,1668051294.590975
1132272156.0,0.0,4000.0,2626.0,276624.0,512.0,0.0,0.0,15818898.0,385966.0,573360.0,0.0,1668051304.591177
1142271940.0,0.0,4000.0,2596.0,276624.0,514.0,0.0,0.0,15958702.0,389190.0,578196.0,0.0,1668051314.590961
1152272432.0,0.0,4000.0,2597.0,276624.0,514.0,0.0,0.0,16098702.0,392420.0,583041.0,0.0,1668051324.591453
1156112721.0,0.0,1536.0,2567.0,276624.0,518.0,0.0,0.0,16152342.0,393664.0,584907.0,0.0,1668051328.431742
1166112248.0,0.0,4000.0,2642.0,276624.0,537.0,0.0,0.0,16292245.0,396876.0,589724.0,0.0,1668051338.431269
1176127365.0,1.0,4000.0,17381.0,276624.0,496.0,0.0,0.0,16432729.0,400169.0,594636.0,0.0,1668051348.446386
1186127317.0,0.0,4000.0,2580.0,276624.0,496.0,0.0,0.0,16573301.0,403749.0,599856.0,0.0,1668051358.446338
