TimeUS,Active,NumPts,MaxPts,Action,N,E,D,timestamp
371130829.0,0.0,1.0,300.0,0.0,-13.491738319396973,-26.734403610229492,-10.053191184997559,1668050543.44985
371796269.0,1.0,2.0,300.0,0.0,-15.687074661254883,-30.03362274169922,-10.366227149963379,1668050544.11529
372128644.0,1.0,3.0,300.0,0.0,-16.6112003326416,-31.945606231689453,-10.502907752990723,1668050544.447665
372460833.0,1.0,4.0,300.0,0.0,-17.25614356994629,-33.914939880371094,-10.63443374633789,1668050544.779854
373126134.0,1.0,5.0,300.0,0.0,-17.127973556518555,-37.43965148925781,-10.761180877685547,1668050545.445155
373790823.0,1.0,6.0,300.0,0.0,-15.356032371520996,-39.840641021728516,-10.742547988891602,1668050546.109844
374456077.0,1.0,7.0,300.0,0.0,-12.475327491760254,-40.89944076538086,-10.863152503967285,1668050546.775098
375120852.0,1.0,8.0,300.0,0.0,-9.96812915802002,-41.766841888427734,-11.44632339477539,1668050547.439873
375785999.0,1.0,9.0,300.0,0.0,-6.326779365539551,-40.98322677612305,-11.831003189086914,1668050548.10502
376118662.0,1.0,10.0,300.0,0.0,-3.776106595993042,-39.3679084777832,-11.85502815246582,1668050548.437683
376450835.0,1.0,11.0,300.0,0.0,-0.5623934268951416,-36.125038146972656,-11.474230766296387,1668050548.769856
376783866.0,1.0,12.0,300.0,0.0,2.3228728771209717,-32.53690719604492,-11.020635604858398,1668050549.102887
377116101.0,1.0,13.0,300.0,0.0,4.85853385925293,-29.29649543762207,-10.834378242492676,1668050549.435122
377448633.0,1.0,14.0,300.0,0.0,7.265076637268066,-26.524089813232422,-10.979073524475098,1668050549.767654
377780743.0,1.0,15.0,300.0,0.0,9.372175216674805,-24.070877075195312,-11.317913055419922,1668050550.0997639
378113400.0,1.0,16.0,300.0,0.0,11.715986251831055,-21.446012496948242,-11.642746925354004,1668050550.432421
378446079.0,1.0,17.0,300.0,0.0,14.40499496459961,-18.38739013671875,-11.809290885925293,1668050550.7651
378778795.0,1.0,18.0,300.0,0.0,17.124526977539062,-15.116230010986328,-11.882065773010254,1668050551.097816
379110872.0,1.0,19.0,300.0,0.0,19.810636520385742,-11.802654266357422,-11.960509300231934,1668050551.429893
379443348.0,1.0,20.0,300.0,0.0,22.3834171295166,-8.637004852294922,-12.125162124633789,1668050551.762369
379776182.0,1.0,21.0,300.0,0.0,25.53731346130371,-4.749142646789551,-12.199112892150879,1668050552.095203
387423571.0,1.0,22.0,300.0,0.0,89.61494445800781,105.37625885009766,-22.9302978515625,1668050559.742592
387756031.0,1.0,23.0,300.0,0.0,90.8514633178711,108.31381225585938,-23.915157318115234,1668050560.075052
388088789.0,1.0,24.0,300.0,0.0,92.27922821044922,111.0392074584961,-24.56575584411621,1668050560.40781
388420848.0,1.0,25.0,300.0,0.0,93.74185180664062,113.48758697509766,-25.154808044433594,1668050560.7398689
388753372.0,1.0,26.0,300.0,0.0,95.12528991699219,115.58907318115234,-25.527978897094727,1668050561.072393
389086232.0,1.0,27.0,300.0,0.0,96.48416900634766,117.41795349121094,-25.709625244140625,1668050561.405253
389418628.0,1.0,28.0,300.0,0.0,61.47727966308594,60.183265686035156,-25.893234252929688,1668050561.737649
389750814.0,1.0,29.0,300.0,0.0,63.66273498535156,63.08929443359375,-25.646711349487305,1668050562.069835
390083787.0,1.0,30.0,300.0,0.0,65.46660614013672,64.92564392089844,-25.446352005004883,1668050562.402808
390416055.0,1.0,31.0,300.0,0.0,67.10946655273438,66.36438751220703,-25.338035583496094,1668050562.735076
390748627.0,1.0,32.0,300.0,0.0,68.69780731201172,67.61908721923828,-25.28335189819336,1668050563.067648
391413385.0,1.0,33.0,300.0,0.0,71.80256652832031,69.74657440185547,-25.274221420288086,1668050563.732406
392079523.0,1.0,34.0,300.0,0.0,74.76127624511719,71.26828002929688,-25.219038009643555,1668050564.398544
392743506.0,1.0,35.0,300.0,0.0,77.51470184326172,72.25114440917969,-25.35123062133789,1668050565.062527
393408710.0,1.0,36.0,300.0,0.0,80.07817840576172,73.01180267333984,-25.337894439697266,1668050565.727731
394073461.0,1.0,37.0,300.0,0.0,81.99122619628906,73.96397399902344,-25.170639038085938,1668050566.392482
397066359.0,1.0,38.0,300.0,0.0,80.29100799560547,73.53047180175781,-23.987659454345703,1668050569.38538
397730853.0,1.0,39.0,300.0,0.0,78.85931396484375,71.57662963867188,-23.856908798217773,1668050570.049874
398396761.0,1.0,40.0,300.0,0.0,77.28009033203125,69.09171295166016,-23.8953857421875,1668050570.715782
398728925.0,1.0,40.0,300.0,3.0,76.7032699584961,68.06825256347656,-24.084476470947266,1668050571.047946
399060841.0,1.0,41.0,300.0,0.0,76.2926025390625,67.3572998046875,-24.482280731201172,1668050571.379862
400058713.0,1.0,42.0,300.0,0.0,75.83795166015625,65.87124633789062,-26.887723922729492,1668050572.377734
401056062.0,1.0,43.0,300.0,0.0,75.73005676269531,65.10526275634766,-29.45106315612793,1668050573.375083
402053503.0,1.0,44.0,300.0,0.0,75.58980560302734,65.03472137451172,-31.870853424072266,1668050574.372524
403050834.0,1.0,45.0,300.0,0.0,75.44306182861328,64.20623016357422,-34.34865951538086,1668050575.369855
403716158.0,1.0,46.0,300.0,0.0,75.36669158935547,62.86177444458008,-36.03470230102539,1668050576.035179
404380840.0,1.0,47.0,300.0,0.0,75.23857879638672,60.95003128051758,-37.71200180053711,1668050576.699861
405046177.0,1.0,48.0,300.0,0.0,75.0079345703125,58.54337692260742,-39.338523864746094,1668050577.365198
405710930.0,1.0,49.0,300.0,0.0,74.51466369628906,55.73039627075195,-40.96220016479492,1668050578.029951
406377055.0,1.0,50.0,300.0,0.0,73.80677032470703,52.511173248291016,-42.44856262207031,1668050578.696076
406391102.0,1.0,50.0,300.0,2.0,-15.687074661254883,-30.03362274169922,-10.366227149963379,1668050578.710123
406391171.0,1.0,50.0,300.0,2.0,-17.25614356994629,-33.914939880371094,-10.63443374633789,1668050578.710192
406391220.0,1.0,50.0,300.0,2.0,-15.356032371520996,-39.840641021728516,-10.742547988891602,1668050578.710241
406391227.0,1.0,50.0,300.0,2.0,-9.96812915802002,-41.766841888427734,-11.44632339477539,1668050578.710248
406391234.0,1.0,50.0,300.0,2.0,-3.776106595993042,-39.3679084777832,-11.85502815246582,1668050578.710255
406391241.0,1.0,50.0,300.0,2.0,-0.5623934268951416,-36.125038146972656,-11.474230766296387,1668050578.710262
406391248.0,1.0,50.0,300.0,2.0,2.3228728771209717,-32.53690719604492,-11.020635604858398,1668050578.710269
406391255.0,1.0,50.0,300.0,2.0,7.265076637268066,-26.524089813232422,-10.979073524475098,1668050578.710276
406391261.0,1.0,50.0,300.0,2.0,9.372175216674805,-24.070877075195312,-11.317913055419922,1668050578.710282
406391268.0,1.0,50.0,300.0,2.0,11.715986251831055,-21.446012496948242,-11.642746925354004,1668050578.710289
406391275.0,1.0,50.0,300.0,2.0,14.40499496459961,-18.38739013671875,-11.809290885925293,1668050578.710296
406391282.0,1.0,50.0,300.0,2.0,17.124526977539062,-15.116230010986328,-11.882065773010254,1668050578.710303
406391289.0,1.0,50.0,300.0,2.0,19.810636520385742,-11.802654266357422,-11.960509300231934,1668050578.71031
406391296.0,1.0,50.0,300.0,2.0,22.3834171295166,-8.637004852294922,-12.125162124633789,1668050578.710317
406391303.0,1.0,50.0,300.0,2.0,90.8514633178711,108.31381225585938,-23.915157318115234,1668050578.710324
406391310.0,1.0,50.0,300.0,2.0,92.27922821044922,111.0392074584961,-24.56575584411621,1668050578.710331
406391393.0,1.0,50.0,300.0,2.0,93.74185180664062,113.48758697509766,-25.154808044433594,1668050578.710414
406391400.0,1.0,50.0,300.0,2.0,95.12528991699219,115.58907318115234,-25.527978897094727,1668050578.710421
406391444.0,1.0,50.0,300.0,2.0,63.66273498535156,63.08929443359375,-25.646711349487305,1668050578.710465
406391452.0,1.0,50.0,300.0,2.0,65.46660614013672,64.92564392089844,-25.446352005004883,1668050578.710473
406391459.0,1.0,50.0,300.0,2.0,67.10946655273438,66.36438751220703,-25.338035583496094,1668050578.71048
406391466.0,1.0,50.0,300.0,2.0,68.69780731201172,67.61908721923828,-25.28335189819336,1668050578.710487
406391473.0,1.0,50.0,300.0,2.0,74.76127624511719,71.26828002929688,-25.219038009643555,1668050578.710494
406391479.0,1.0,50.0,300.0,2.0,77.51470184326172,72.25114440917969,-25.35123062133789,1668050578.7105
406391486.0,1.0,50.0,300.0,2.0,80.07817840576172,73.01180267333984,-25.337894439697266,1668050578.710507
406391493.0,1.0,50.0,300.0,2.0,78.85931396484375,71.57662963867188,-23.856908798217773,1668050578.710514
406391500.0,1.0,50.0,300.0,2.0,77.28009033203125,69.09171295166016,-23.8953857421875,1668050578.710521
406391507.0,1.0,50.0,300.0,2.0,75.83795166015625,65.87124633789062,-26.887723922729492,1668050578.710528
406391518.0,1.0,50.0,300.0,2.0,75.73005676269531,65.10526275634766,-29.45106315612793,1668050578.710539
406391525.0,1.0,50.0,300.0,2.0,75.58980560302734,65.03472137451172,-31.870853424072266,1668050578.710546
406391532.0,1.0,50.0,300.0,2.0,75.44306182861328,64.20623016357422,-34.34865951538086,1668050578.710553
406391539.0,1.0,50.0,300.0,2.0,75.23857879638672,60.95003128051758,-37.71200180053711,1668050578.71056
406391588.0,1.0,50.0,300.0,2.0,75.0079345703125,58.54337692260742,-39.338523864746094,1668050578.710609
406391595.0,1.0,50.0,300.0,2.0,74.51466369628906,55.73039627075195,-40.96220016479492,1668050578.7106159
407040903.0,1.0,17.0,300.0,0.0,72.95560455322266,49.00042724609375,-43.89122772216797,1668050579.359924
407373416.0,1.0,18.0,300.0,0.0,72.47380828857422,47.14726638793945,-44.63197708129883,1668050579.692437
407706380.0,1.0,19.0,300.0,0.0,71.95216369628906,45.20590591430664,-45.37107467651367,1668050580.0254009
408038726.0,1.0,20.0,300.0,0.0,71.40779113769531,43.17762756347656,-46.09273147583008,1668050580.357747
408370847.0,1.0,21.0,300.0,0.0,70.84418487548828,41.084407806396484,-46.806488037109375,1668050580.689868
408703592.0,1.0,22.0,300.0,0.0,70.25337219238281,38.957183837890625,-47.53153991699219,1668050581.022613
409036092.0,1.0,23.0,300.0,0.0,69.6436538696289,36.80984878540039,-48.2149543762207,1668050581.355113
409368712.0,1.0,24.0,300.0,0.0,69.02704620361328,34.6497917175293,-48.836456298828125,1668050581.687733
409700856.0,1.0,25.0,300.0,0.0,68.42760467529297,32.498634338378906,-49.30965805053711,1668050582.019877
410033702.0,1.0,26.0,300.0,0.0,67.85985565185547,30.33802032470703,-49.690277099609375,1668050582.352723
410366140.0,1.0,27.0,300.0,0.0,67.3090591430664,28.18309783935547,-50.02936935424805,1668050582.6851609
410698815.0,1.0,28.0,300.0,0.0,66.7635726928711,26.029356002807617,-50.34764099121094,1668050583.017836
411030854.0,1.0,29.0,300.0,0.0,66.25196075439453,23.872798919677734,-50.63944625854492,1668050583.349875
411363506.0,1.0,30.0,300.0,0.0,65.77471923828125,21.718246459960938,-50.91630935668945,1668050583.682527
411696162.0,1.0,31.0,300.0,0.0,65.32583618164062,19.56257438659668,-51.111671447753906,1668050584.015183
412028751.0,1.0,32.0,300.0,0.0,64.89225006103516,17.386367797851562,-51.240909576416016,1668050584.347772
412360820.0,1.0,33.0,300.0,0.0,64.49004364013672,15.244120597839355,-51.35201644897461,1668050584.679841
412693417.0,1.0,34.0,300.0,0.0,64.11772155761719,13.084723472595215,-51.441707611083984,1668050585.012438
413026179.0,1.0,35.0,300.0,0.0,63.78238296508789,10.923038482666016,-51.49646759033203,1668050585.3452
413358682.0,1.0,36.0,300.0,0.0,63.484527587890625,8.746145248413086,-51.49647903442383,1668050585.677703
413691047.0,1.0,37.0,300.0,0.0,63.220802307128906,6.586896896362305,-51.49309539794922,1668050586.010068
414023760.0,1.0,38.0,300.0,0.0,62.978118896484375,4.43646764755249,-51.4947624206543,1668050586.342781
414356193.0,1.0,39.0,300.0,0.0,62.764095306396484,2.293588399887085,-51.50126266479492,1668050586.675214
414688870.0,1.0,40.0,300.0,0.0,62.56785202026367,0.2095867395401001,-51.42340850830078,1668050587.007891
415353449.0,1.0,41.0,300.0,0.0,62.26137924194336,-3.5350558757781982,-50.864479064941406,1668050587.67247
416018734.0,1.0,42.0,300.0,0.0,61.949302673339844,-6.200366497039795,-50.040863037109375,1668050588.337755
417016227.0,1.0,43.0,300.0,0.0,61.377655029296875,-8.190701484680176,-48.96364974975586,1668050589.335248
418013487.0,1.0,44.0,300.0,0.0,60.92153549194336,-10.126276969909668,-48.22937774658203,1668050590.332508
419010854.0,1.0,45.0,300.0,0.0,59.51408767700195,-12.368122100830078,-47.08857727050781,1668050591.329875
419677274.0,1.0,46.0,300.0,0.0,57.9415397644043,-14.013869285583496,-46.13788604736328,1668050591.996295
420340889.0,1.0,47.0,300.0,0.0,56.04245376586914,-15.862918853759766,-45.432029724121094,1668050592.65991
421006131.0,1.0,48.0,300.0,0.0,54.249977111816406,-17.595762252807617,-45.15018844604492,1668050593.325152
421670877.0,1.0,49.0,300.0,0.0,52.47127914428711,-19.39222526550293,-44.858177185058594,1668050593.989898
422336121.0,1.0,50.0,300.0,0.0,51.11772155761719,-20.773887634277344,-44.32095718383789,1668050594.655142
424330890.0,1.0,51.0,300.0,0.0,50.27537536621094,-21.897457122802734,-42.664306640625,1668050596.649911
425661048.0,1.0,52.0,300.0,0.0,50.27701187133789,-24.014389038085938,-41.711307525634766,1668050597.980069
426658756.0,1.0,53.0,300.0,0.0,50.151981353759766,-26.488082885742188,-40.7144775390625,1668050598.977777
427656108.0,1.0,54.0,300.0,0.0,50.051353454589844,-28.51443099975586,-39.408199310302734,1668050599.975129
429650850.0,1.0,55.0,300.0,0.0,50.012664794921875,-29.348159790039062,-37.3256950378418,1668050601.969871
431646993.0,1.0,56.0,300.0,0.0,49.30982971191406,-29.00235366821289,-35.20956039428711,1668050603.966014
432977055.0,1.0,57.0,300.0,0.0,48.29924774169922,-28.61324119567871,-33.44917678833008,1668050605.296076
434306070.0,1.0,58.0,300.0,0.0,47.35623550415039,-28.36058807373047,-31.275718688964844,1668050606.625091
435968733.0,1.0,59.0,300.0,0.0,46.39564895629883,-28.076379776000977,-29.0174503326416,1668050608.287754
437631068.0,1.0,60.0,300.0,0.0,45.50298309326172,-27.898635864257812,-26.916290283203125,1668050609.950089
439293361.0,1.0,61.0,300.0,0.0,44.0863037109375,-26.856292724609375,-25.091567993164062,1668050611.612382
440623697.0,1.0,62.0,300.0,0.0,42.73280715942383,-25.967357635498047,-23.49837875366211,1668050612.942718
442286299.0,1.0,63.0,300.0,0.0,41.34036636352539,-25.115663528442383,-21.879629135131836,1668050614.60532
443616442.0,1.0,64.0,300.0,0.0,40.095985412597656,-24.058391571044922,-20.71918296813965,1668050615.935463
444946136.0,1.0,65.0,300.0,0.0,38.53217315673828,-22.37430191040039,-19.666688919067383,1668050617.265157
445943505.0,1.0,66.0,300.0,0.0,37.27554702758789,-20.938674926757812,-18.748098373413086,1668050618.262526
445956664.0,1.0,66.0,300.0,2.0,72.95560455322266,49.00042724609375,-43.89122772216797,1668050618.275685
445956673.0,1.0,66.0,300.0,2.0,72.47380828857422,47.14726638793945,-44.63197708129883,1668050618.275694
445956680.0,1.0,66.0,300.0,2.0,71.95216369628906,45.20590591430664,-45.37107467651367,1668050618.275701
445956687.0,1.0,66.0,300.0,2.0,71.40779113769531,43.17762756347656,-46.09273147583008,1668050618.275708
445956738.0,1.0,66.0,300.0,2.0,70.84418487548828,41.084407806396484,-46.806488037109375,1668050618.275759
445956746.0,1.0,66.0,300.0,2.0,70.25337219238281,38.957183837890625,-47.53153991699219,1668050618.275767
445956753.0,1.0,66.0,300.0,2.0,69.6436538696289,36.80984878540039,-48.2149543762207,1668050618.275774
445956760.0,1.0,66.0,300.0,2.0,68.42760467529297,32.498634338378906,-49.30965805053711,1668050618.275781
445956766.0,1.0,66.0,300.0,2.0,67.85985565185547,30.33802032470703,-49.690277099609375,1668050618.2757869
445956773.0,1.0,66.0,300.0,2.0,67.3090591430664,28.18309783935547,-50.02936935424805,1668050618.275794
445956780.0,1.0,66.0,300.0,2.0,66.7635726928711,26.029356002807617,-50.34764099121094,1668050618.275801
445956787.0,1.0,66.0,300.0,2.0,66.25196075439453,23.872798919677734,-50.63944625854492,1668050618.275808
445956794.0,1.0,66.0,300.0,2.0,65.32583618164062,19.56257438659668,-51.111671447753906,1668050618.275815
445956801.0,1.0,66.0,300.0,2.0,64.89225006103516,17.386367797851562,-51.240909576416016,1668050618.275822
445956808.0,1.0,66.0,300.0,2.0,64.49004364013672,15.244120597839355,-51.35201644897461,1668050618.275829
445956815.0,1.0,66.0,300.0,2.0,64.11772155761719,13.084723472595215,-51.441707611083984,1668050618.275836
445956822.0,1.0,66.0,300.0,2.0,63.78238296508789,10.923038482666016,-51.49646759033203,1668050618.275843
