TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config,timestamp
221298446.0,0.0,95.0,14.0,1.0,858.0,0.0,1668050393.617467
241295955.0,0.0,95.0,14.0,1.0,858.0,0.0,1668050413.614976
261311643.0,0.0,95.0,13.0,1.0,858.0,0.0,1668050433.6306639
266311759.0,0.0,95.0,13.0,1.0,858.0,0.0,1668050438.63078
271311763.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050443.630784
276311716.0,0.0,94.0,13.0,1.0,858.0,0.0,1668050448.630737
281311761.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050453.630782
286311812.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050458.630833
291303540.0,0.0,94.0,13.0,1.0,858.0,0.0,1668050463.622561
296303637.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050468.622658
301303486.0,0.0,94.0,15.0,1.0,858.0,0.0,1668050473.622507
306303622.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050478.622643
311303606.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050483.622627
316303583.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050488.622604
321303521.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050493.622542
326303630.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050498.622651
331303729.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050503.62275
336303458.0,0.0,94.0,14.0,1.0,858.0,0.0,1668050508.622479
341303496.0,0.0,94.0,15.0,1.0,858.0,0.0,1668050513.6225169
346303674.0,0.0,93.0,14.0,1.0,858.0,0.0,1668050518.622695
351303522.0,0.0,93.0,14.0,1.0,858.0,0.0,1668050523.622543
356303628.0,0.0,93.0,15.0,1.0,858.0,0.0,1668050528.622649
361303445.0,0.0,93.0,16.0,1.0,858.0,0.0,1668050533.622466
366303469.0,0.0,93.0,14.0,1.0,858.0,0.0,1668050538.62249
371303553.0,0.0,112.0,5.0,1.0,858.0,0.0,1668050543.622574
376303629.0,0.0,104.0,6.0,1.0,1014.0,0.0,1668050548.62265
381303555.0,0.0,86.0,16.0,1.0,936.0,0.0,1668050553.622576
386303597.0,0.0,86.0,16.0,1.0,936.0,0.0,1668050558.622618
391303565.0,0.0,92.0,18.0,1.0,936.0,0.0,1668050563.622586
396303665.0,0.0,92.0,16.0,1.0,936.0,0.0,1668050568.622686
401303707.0,0.0,92.0,16.0,1.0,936.0,0.0,1668050573.6227279
406303558.0,0.0,99.0,14.0,1.0,936.0,0.0,1668050578.622579
411303670.0,0.0,99.0,14.0,1.0,936.0,0.0,1668050583.622691
416303685.0,0.0,99.0,14.0,1.0,936.0,0.0,1668050588.622706
421303667.0,0.0,99.0,15.0,1.0,936.0,0.0,1668050593.622688
426303601.0,0.0,99.0,15.0,1.0,936.0,0.0,1668050598.622622
431303606.0,0.0,99.0,15.0,1.0,936.0,0.0,1668050603.622627
436303871.0,0.0,99.0,17.0,1.0,936.0,0.0,1668050608.622892
441303579.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050613.6226
446303601.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050618.622622
451303618.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050623.622639
456303616.0,0.0,99.0,17.0,1.0,936.0,0.0,1668050628.622637
461303668.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050633.622689
466303692.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050638.622713
471303617.0,0.0,99.0,17.0,1.0,936.0,0.0,1668050643.622638
476303604.0,0.0,99.0,16.0,1.0,936.0,0.0,1668050648.6226249
