TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut,timestamp
221061356.0,-2.404397964477539,0.0453682541847229,-0.005938320886343718,-0.8626328110694885,-0.06480658799409866,-0.0031353384256362915,0.008999159559607506,-0.17802681028842926,0.0031649209558963776,0.0,17.40713119506836,0.0,1668050393.380377
221161056.0,-2.3729910850524902,-0.031576644629240036,-0.005742648616433144,-0.9081825613975525,0.40477097034454346,-0.0051086219027638435,0.009399855509400368,0.04419718310236931,0.0015558662125840783,0.0,-28.558635711669922,0.0,1668050393.480077
221261160.0,-2.3585100173950195,0.05713716894388199,-0.005929134786128998,-0.87993323802948,-0.1880445033311844,-0.0018720397492870688,0.009087520651519299,0.22806565463542938,-9.072972170542926e-05,0.0,12.53194808959961,0.0,1668050393.580181
221360960.0,-2.335728406906128,0.055364154279232025,-0.005861776880919933,-0.8940111994743347,-0.10686516016721725,-0.002864862559363246,0.009061924181878567,-0.18925248086452484,0.0010794156696647406,0.0,-25.053787231445312,0.0,1668050393.679981
221460963.0,-2.300504684448242,-0.008879532106220722,-0.005614018999040127,-0.9984076619148254,0.09749308228492737,-0.0033912193030118942,0.009975184686481953,-0.20002926886081696,0.0013898625038564205,0.0,23.362064361572266,0.0,1668050393.779984
221560999.0,-2.270615816116333,0.1034829393029213,-0.005856045987457037,-1.0216286182403564,-0.20040464401245117,-0.0018543179612606764,0.010103053413331509,0.0001330151571892202,-0.00016910434351302683,0.0,-13.045787811279297,0.0,1668050393.88002
221660926.0,-2.256636142730713,0.11109033972024918,-0.005805790424346924,-1.0127853155136108,-0.22938191890716553,-0.0024189401883631945,0.009948335587978363,-0.08572065830230713,0.0005554489325731993,0.0,7.510471343994141,0.0,1668050393.979947
221760997.0,-2.2158620357513428,-0.2013777494430542,-0.004897108301520348,-1.0913140773773193,0.16360044479370117,-0.0042171054519712925,0.010521169751882553,-0.16199542582035065,0.0015458224806934595,0.0,-11.695384979248047,0.0,1668050394.080018
221860916.0,-2.236049175262451,0.23128417134284973,-0.006043590139597654,-1.0993647575378418,-0.1012260690331459,-0.0028274953365325928,0.010717309080064297,0.0626680925488472,-0.00032239206484518945,0.0,9.571170806884766,0.0,1668050394.179937
221961374.0,-2.212775945663452,0.05778070166707039,-0.0055902861058712006,-1.0706417560577393,-0.11865078657865524,-0.0032341445330530405,0.010296658612787724,-0.23480334877967834,0.0010806561913341284,0.0,-7.5504302978515625,0.0,1668050394.280395
