TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4,timestamp
221061856.0,0.12,0.1,350.66,11.069999694824219,14.083778299999999,100.42014979999999,0.9966799020767212,0.0011680956231430173,0.0008424122352153063,-0.08140726387500763,1668050393.380877
221161500.0,0.11,0.12,350.65000000000003,11.179999351501465,14.083778299999999,100.42014979999999,0.9966723918914795,0.0010919739725068212,0.0010189177701249719,-0.08149793744087219,1668050393.480521
221261522.0,0.11,0.1,350.66,11.09000015258789,14.083778299999999,100.42014979999999,0.9966813921928406,0.0011003219988197088,0.000843813584651798,-0.08138974756002426,1668050393.580543
221361333.0,0.12,0.09,350.64,11.119999885559082,14.0837782,100.42014979999999,0.9966706037521362,0.001133263809606433,0.0007399008027277887,-0.08152226358652115,1668050393.6803539
221461285.0,0.11,0.1,350.63,10.989999771118164,14.0837782,100.42014979999999,0.9966589212417603,0.001108903088606894,0.0008657021098770201,-0.08166375011205673,1668050393.780306
221561386.0,0.11,0.09,350.64,11.019999504089355,14.0837782,100.42014979999999,0.9966701865196228,0.0010865613585337996,0.0007756735431030393,-0.08152756094932556,1668050393.880407
221661322.0,0.11,0.08,350.63,11.0,14.0837782,100.42014979999999,0.9966633319854736,0.0010936789913102984,0.0006478993454948068,-0.08161240071058273,1668050393.980343
221761275.0,0.1,0.09,350.61,11.139999389648438,14.0837782,100.42014979999999,0.9966497421264648,0.0010234762448817492,0.0007757465355098248,-0.08177848905324936,1668050394.080296
221861272.0,0.12,0.09,350.63,11.079999923706055,14.0837782,100.42014979999999,0.9966613054275513,0.0011472702026367188,0.0007178268278948963,-0.08163554966449738,1668050394.180293
221961671.0,0.11,0.07,350.61,11.130000114440918,14.0837782,100.42014979999999,0.9966479539871216,0.001068916404619813,0.0005943149444647133,-0.08180064707994461,1668050394.280692
222061386.0,0.11,0.08,350.6,11.239999771118164,14.0837781,100.42014979999999,0.9966434240341187,0.0010870619444176555,0.00069665617775172,-0.08185474574565887,1668050394.380407
222161374.0,0.11,0.08,350.61,10.889999389648438,14.0837781,100.4201499,0.9966461658477783,0.0010894081788137555,0.0006240417715162039,-0.08182254433631897,1668050394.480395
222261291.0,0.11,0.08,350.61,11.079999923706055,14.083777999999999,100.42014999999999,0.9966446161270142,0.0010935852769762278,0.0006287065334618092,-0.08184090256690979,1668050394.580312
222361439.0,0.11,0.08,350.58,11.079999923706055,14.083777999999999,100.42014999999999,0.9966281056404114,0.0010457569733262062,0.0006514530396088958,-0.08204283565282822,1668050394.68046
222461424.0,0.12,0.08,350.61,11.069999694824219,14.0837779,100.42014999999999,0.9966486692428589,0.0011353397276252508,0.0006332452758215368,-0.0817912369966507,1668050394.780445
222561345.0,0.11,0.08,350.59000000000003,11.149999618530273,14.0837779,100.42014999999999,0.9966316223144531,0.0010300915455445647,0.0006398983532562852,-0.08200009167194366,1668050394.880366
222661451.0,0.12,0.08,350.57,10.800000190734863,14.0837778,100.42014999999999,0.9966191053390503,0.0011203208705410361,0.0006143796490505338,-0.08215115964412689,1668050394.980472
222761327.0,0.11,0.08,350.6,11.15999984741211,14.0837778,100.42014999999999,0.9966371059417725,0.0010889435652643442,0.0006115230498835444,-0.08193250745534897,1668050395.080348
222861387.0,0.11,0.08,350.58,11.069999694824219,14.083777699999999,100.4201501,0.9966244101524353,0.001056805020198226,0.0006490441155619919,-0.08208700269460678,1668050395.180408
222961364.0,0.12,0.08,350.55,11.069999694824219,14.083777699999999,100.4201501,0.9966075420379639,0.0011371414875611663,0.0006074873963370919,-0.08229057490825653,1668050395.280385
223061657.0,0.11,0.07,350.58,10.989999771118164,14.0837776,100.4201501,0.996623158454895,0.0010785830672830343,0.0006023818859830499,-0.08210226893424988,1668050395.380678
223161663.0,0.12,0.08,350.57,10.969999313354492,14.0837776,100.4201501,0.9966179728507996,0.0011198011925444007,0.0006147284875623882,-0.0821647122502327,1668050395.480684
223261399.0,0.11,0.07,350.54,10.920000076293945,14.0837776,100.4201501,0.9965989589691162,0.00107709935400635,0.0005752018769271672,-0.08239582926034927,1668050395.58042
223361621.0,0.12,0.07,350.56,10.989999771118164,14.0837776,100.4201501,0.9966135025024414,0.0011107418686151505,0.0005634548142552376,-0.0822189673781395,1668050395.680642
223461367.0,0.11,0.07,350.55,11.019999504089355,14.0837776,100.4201501,0.9966068863868713,0.0010761418379843235,0.000594541197642684,-0.0822993665933609,1668050395.7803879
223561372.0,0.11,0.07,350.53000000000003,11.130000114440918,14.0837776,100.42014999999999,0.9965929985046387,0.001088226679712534,0.0005706800729967654,-0.08246774226427078,1668050395.880393
223661341.0,0.11,0.07,350.55,11.149999618530273,14.0837776,100.42014999999999,0.9966022372245789,0.001088398159481585,0.0005799907958135009,-0.0823558047413826,1668050395.980362
223761421.0,0.11,0.07,350.54,11.010000228881836,14.0837775,100.42014999999999,0.9965975880622864,0.0010649405885487795,0.0005927992169745266,-0.08241239935159683,1668050396.080442
223861288.0,0.12,0.07,350.52,11.019999504089355,14.0837775,100.42014999999999,0.9965826869010925,0.0011202633613720536,0.0005489452159963548,-0.08259206265211105,1668050396.180309
223961346.0,0.11,0.07,350.53000000000003,11.019999504089355,14.083777399999999,100.42014999999999,0.9965912103652954,0.0010795972775667906,0.000580007501412183,-0.08248945325613022,1668050396.280367
224061659.0,0.12,0.07,350.53000000000003,11.059999465942383,14.083777399999999,100.4201501,0.996588945388794,0.0011301564518362284,0.0005778209888376296,-0.08251573145389557,1668050396.38068
