TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,timestamp
221040756.0,0.0,57.553672790527344,57.553672790527344,nan,nan,nan,0.0,0.0,1668050393.359777
221158448.0,0.0,57.545066833496094,57.545066833496094,nan,nan,nan,0.0,0.0,1668050393.477469
221258401.0,0.0,57.5597038269043,57.5597038269043,nan,nan,nan,0.0,0.0,1668050393.577422
221358422.0,0.0,57.574363708496094,57.574363708496094,nan,nan,nan,0.0,0.0,1668050393.677443
221458397.0,0.0,57.57564926147461,57.57564926147461,nan,nan,nan,0.0,0.0,1668050393.777418
221558757.0,0.0,57.57855224609375,57.57855224609375,nan,nan,nan,0.0,0.0,1668050393.877778
221658277.0,0.0,57.58242416381836,57.58242416381836,nan,nan,nan,0.0,0.0,1668050393.977298
221758611.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050394.077632
221858812.0,0.0,57.584354400634766,57.584354400634766,nan,nan,nan,0.0,0.0,1668050394.177833
221958661.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050394.277682
222058628.0,0.0,57.580814361572266,57.580814361572266,nan,nan,nan,0.0,0.0,1668050394.377649
222158460.0,0.0,57.58290481567383,57.58290481567383,nan,nan,nan,0.0,0.0,1668050394.477481
222258730.0,0.0,57.5858039855957,57.5858039855957,nan,nan,nan,0.0,0.0,1668050394.577751
222358453.0,0.0,57.58564758300781,57.58564758300781,nan,nan,nan,0.0,0.0,1668050394.677474
222458748.0,0.0,57.584354400634766,57.584354400634766,nan,nan,nan,0.0,0.0,1668050394.777769
222558469.0,0.0,57.5858039855957,57.5858039855957,nan,nan,nan,0.0,0.0,1668050394.87749
222658692.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050394.9777129
222758571.0,0.0,57.5858039855957,57.5858039855957,nan,nan,nan,0.0,0.0,1668050395.077592
222858245.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050395.177266
222958830.0,0.0,57.5858039855957,57.5858039855957,nan,nan,nan,0.0,0.0,1668050395.277851
223058799.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050395.37782
223158735.0,0.0,57.58290481567383,57.58290481567383,nan,nan,nan,0.0,0.0,1668050395.477756
223258797.0,0.0,57.58290481567383,57.58290481567383,nan,nan,nan,0.0,0.0,1668050395.577818
223358430.0,0.0,57.58564758300781,57.58564758300781,nan,nan,nan,0.0,0.0,1668050395.677451
223458605.0,0.0,57.581459045410156,57.581459045410156,nan,nan,nan,0.0,0.0,1668050395.777626
223558643.0,0.0,57.5858039855957,57.5858039855957,nan,nan,nan,0.0,0.0,1668050395.877664
223658613.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050395.977634
223758369.0,0.0,57.588706970214844,57.588706970214844,nan,nan,nan,0.0,0.0,1668050396.07739
223858664.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050396.177685
223958463.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050396.277484
224058684.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050396.377705
224158733.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050396.4777539
224258679.0,0.0,57.584354400634766,57.584354400634766,nan,nan,nan,0.0,0.0,1668050396.5777
224358641.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050396.677662
227258410.0,0.0,57.548583984375,57.548583984375,nan,nan,nan,0.0,0.0,1668050399.577431
227370726.0,0.0,57.55693435668945,57.55693435668945,nan,nan,nan,0.0,0.0,1668050399.689747
227470650.0,0.0,57.564048767089844,57.564048767089844,nan,nan,nan,0.0,0.0,1668050399.789671
227570985.0,0.0,57.584354400634766,57.584354400634766,nan,nan,nan,0.0,0.0,1668050399.890006
227670269.0,0.0,57.588863372802734,57.588863372802734,nan,nan,nan,0.0,0.0,1668050399.98929
227770477.0,0.0,57.59015655517578,57.59015655517578,nan,nan,nan,0.0,0.0,1668050400.089498
227870370.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050400.189391
227970485.0,0.0,57.588863372802734,57.588863372802734,nan,nan,nan,0.0,0.0,1668050400.289506
228070746.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050400.389767
228170354.0,0.0,57.58725357055664,57.58725357055664,nan,nan,nan,0.0,0.0,1668050400.4893749
