TimeUS,ArmState,ArmChecks,Forced,Method,timestamp
289731724.0,0.0,0.0,0.0,0.0,1668050462.050745
295043673.0,1.0,13790.0,0.0,0.0,1668050467.362694
521423778.0,0.0,0.0,0.0,0.0,1668050693.742799
738879884.0,1.0,13790.0,0.0,0.0,1668050911.198905
949819728.0,0.0,0.0,0.0,0.0,1668051122.138749
969331701.0,1.0,13790.0,0.0,0.0,1668051141.650722
1174311394.0,0.0,0.0,0.0,0.0,1668051346.630415
