TimeUS,SetP,NxtP,TotP,SPD,CLat,CLng,CAlt,Opt1,timestamp
221959742.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050394.278763
222961666.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050395.280687
223961649.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050396.28067
227973561.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050400.292582
228973537.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050401.292558
229973603.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050402.292624
233986923.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050406.305944
234986909.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050407.30593
238999186.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050411.318207
239999243.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050412.318264
240999245.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050413.318266
241999260.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050414.318281
242999396.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050415.318417
247010923.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050419.329944
248010886.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050420.329907
249011141.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050421.330162
253022907.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050425.341928
254022998.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050426.342019
255023055.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050427.342076
259034868.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050431.353889
260034991.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050432.354012
261034966.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050433.353987
262035068.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050434.354089
263035056.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050435.354077
264035038.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050436.354059
265035146.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050437.354167
266034989.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050438.35401
267034953.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050439.353974
268035038.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050440.354059
269034945.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050441.353966
270035009.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050442.35403
271035004.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050443.354025
272035090.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050444.354111
273035123.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050445.354144
275034886.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050447.3539069
276035021.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050448.354042
277034923.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050449.353944
278034927.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050450.3539479
279034842.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050451.353863
280034887.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050452.353908
281035000.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050453.354021
282034981.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050454.354002
283035103.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050455.354124
284034999.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050456.3540199
285034874.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050457.353895
286034989.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050458.35401
287034892.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050459.353913
288034856.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050460.353877
289034845.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050461.353866
290046820.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050462.365841
291047074.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050463.366095
292046929.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050464.3659499
293046943.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050465.365964
294046833.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050466.365854
295047039.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050467.36606
296046702.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050468.365723
297046706.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050469.365727
298046750.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050470.365771
299046731.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050471.365752
300046852.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050472.365873
301046855.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050473.365876
302046732.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050474.365753
303046715.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050475.365736
304046713.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050476.365734
305046918.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050477.365939
306046826.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050478.3658469
307046789.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050479.36581
308046903.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050480.365924
309046923.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050481.365944
310046910.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050482.365931
311046876.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050483.365897
312046700.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050484.365721
313046895.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050485.365916
314046732.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050486.365753
315046846.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050487.365867
316046769.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050488.36579
317046706.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050489.365727
318046850.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050490.365871
319046731.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050491.365752
320046706.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050492.365727
321046775.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050493.365796
322046749.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050494.36577
323046753.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050495.365774
324046747.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050496.365768
325046913.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050497.365934
326046748.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050498.365769
327046875.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050499.365896
328046789.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050500.36581
329046810.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050501.365831
330046796.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050502.365817
331046778.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050503.365799
332046720.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050504.365741
333046790.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050505.3658109
334046728.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050506.365749
335046742.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050507.365763
336046864.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050508.365885
336884759.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050509.20378
337884799.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050510.20382
338884749.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050511.20377
339884728.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050512.203749
340884804.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050513.203825
341884689.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050514.20371
342884805.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050515.203826
343884806.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050516.203827
344884705.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050517.203726
345884862.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050518.203883
346884761.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050519.203782
347886533.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050520.205554
348886236.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050521.205257
349886510.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050522.205531
350886608.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050523.2056289
351886613.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050524.2056339
352886578.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050525.205599
353886698.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050526.205719
354886643.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050527.205664
355886548.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050528.205569
356886603.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050529.205624
357886648.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050530.205669
358886612.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050531.205633
359886605.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050532.205626
360886596.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050533.205617
361886632.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050534.205653
362886719.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050535.20574
363886611.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050536.205632
364886583.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050537.205604
365886624.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050538.205645
366886457.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050539.205478
367886472.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050540.205493
368886552.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050541.205573
369886467.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050542.205488
370886588.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050543.205609
371886737.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050544.205758
372886945.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050545.205966
373886893.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050546.205914
374886906.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050547.205927
375886954.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050548.205975
376887035.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050549.2060559
377886821.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050550.205842
378887136.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050551.206157
379886946.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050552.205967
380887162.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050553.206183
381886968.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050554.205989
382887012.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050555.206033
383887129.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050556.20615
384887028.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050557.206049
385886999.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050558.2060199
386887153.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050559.206174
387887250.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050560.206271
388887059.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050561.20608
389887246.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050562.2062669
390887179.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050563.2062
391887238.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050564.206259
392887283.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050565.206304
393887113.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050566.206134
394887143.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050567.206164
395887184.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050568.206205
396887429.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050569.20645
397887232.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050570.206253
398889794.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050571.208815
399889586.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050572.208607
400889874.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050573.208895
401889255.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050574.208276
402889595.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050575.208616
403889479.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050576.2085
404889395.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050577.208416
405889311.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,1668050578.208332
