TimeUS,VibeX,VibeY,VibeZ,Clip0,Clip1,Clip2,timestamp
221061991.0,0.37680190801620483,0.29621657729148865,0.5177186131477356,0.0,0.0,0.0,1668050393.381012
221161578.0,0.45096471905708313,0.23226743936538696,0.46888208389282227,0.0,0.0,0.0,1668050393.480599
221261641.0,0.48400670289993286,0.22161298990249634,0.3433440029621124,0.0,0.0,0.0,1668050393.580662
221361405.0,0.3125757575035095,0.20318204164505005,0.25719648599624634,0.0,0.0,0.0,1668050393.680426
221461398.0,0.2231191098690033,0.20856688916683197,0.21435439586639404,0.0,0.0,0.0,1668050393.7804189
221561459.0,0.14270669221878052,0.1908857375383377,0.14913293719291687,0.0,0.0,0.0,1668050393.88048
221661394.0,0.12884441018104553,0.1347532421350479,0.13844458758831024,0.0,0.0,0.0,1668050393.9804149
221761427.0,0.19302168488502502,0.10899429768323898,0.16150084137916565,0.0,0.0,0.0,1668050394.080448
221861346.0,0.20294199883937836,0.12117093056440353,0.16697271168231964,0.0,0.0,0.0,1668050394.180367
221961745.0,0.19642089307308197,0.177664652466774,0.168043315410614,0.0,0.0,0.0,1668050394.280766
222061466.0,0.1910959631204605,0.17930707335472107,0.15845495462417603,0.0,0.0,0.0,1668050394.380487
222161446.0,0.1418188214302063,0.12756000459194183,0.10821215063333511,0.0,0.0,0.0,1668050394.480467
222261403.0,0.08912672102451324,0.08653045445680618,0.08019041270017624,0.0,0.0,0.0,1668050394.580424
222361577.0,0.09085424989461899,0.08480792492628098,0.08011870086193085,0.0,0.0,0.0,1668050394.680598
222461495.0,0.0937667191028595,0.11791311949491501,0.08666976541280746,0.0,0.0,0.0,1668050394.780516
222561460.0,0.0674225389957428,0.0943179652094841,0.0639011338353157,0.0,0.0,0.0,1668050394.880481
222661573.0,0.044630784541368484,0.07283200323581696,0.0439847968518734,0.0,0.0,0.0,1668050394.980594
222761403.0,0.030709553509950638,0.04977598786354065,0.03846470266580582,0.0,0.0,0.0,1668050395.080424
222861567.0,0.02500711753964424,0.04348571598529816,0.03103507123887539,0.0,0.0,0.0,1668050395.180588
222961527.0,0.023580115288496017,0.03587851673364639,0.02558114565908909,0.0,0.0,0.0,1668050395.280548
223061807.0,0.027126628905534744,0.036849960684776306,0.031101537868380547,0.0,0.0,0.0,1668050395.380828
223161786.0,0.02927691861987114,0.04092450812458992,0.023738959804177284,0.0,0.0,0.0,1668050395.480807
223261594.0,0.029054850339889526,0.04076535627245903,0.02512524649500847,0.0,0.0,0.0,1668050395.580615
223361701.0,0.02695482037961483,0.03754023090004921,0.027204228565096855,0.0,0.0,0.0,1668050395.680722
223461451.0,0.023772846907377243,0.039419714361429214,0.023569881916046143,0.0,0.0,0.0,1668050395.780472
223561446.0,0.024553468450903893,0.043328236788511276,0.023755298927426338,0.0,0.0,0.0,1668050395.880467
223661550.0,0.024793867021799088,0.045602280646562576,0.030354969203472137,0.0,0.0,0.0,1668050395.980571
223761589.0,0.024182790890336037,0.03846049681305885,0.02507341280579567,0.0,0.0,0.0,1668050396.08061
