TimeUS,Id,Value,timestamp
221959111.0,7.0,4220376.0,1668050394.278132
222959303.0,7.0,4220376.0,1668050395.278324
223959034.0,7.0,4220376.0,1668050396.278055
227970936.0,7.0,4220376.0,1668050400.289957
228971211.0,7.0,4220376.0,1668050401.290232
229971168.0,7.0,4220360.0,1668050402.290189
233984534.0,7.0,4220376.0,1668050406.303555
234984329.0,7.0,4220376.0,1668050407.30335
238996210.0,7.0,4220376.0,1668050411.315231
239996318.0,7.0,4220376.0,1668050412.315339
240996300.0,7.0,4220376.0,1668050413.315321
241996298.0,7.0,4220360.0,1668050414.315319
242996084.0,7.0,4220360.0,1668050415.315105
247008099.0,7.0,4220376.0,1668050419.32712
248008027.0,7.0,4220376.0,1668050420.327048
249007881.0,7.0,4220376.0,1668050421.326902
253020000.0,7.0,4220376.0,1668050425.339021
254019980.0,7.0,4220376.0,1668050426.339001
255019902.0,7.0,4220376.0,1668050427.338923
259032158.0,7.0,4220376.0,1668050431.351179
260032104.0,7.0,4220376.0,1668050432.351125
261032141.0,7.0,4220376.0,1668050433.351162
262032072.0,7.0,4220376.0,1668050434.351093
263032241.0,7.0,4220376.0,1668050435.351262
264032123.0,7.0,4220376.0,1668050436.351144
265032032.0,7.0,4220376.0,1668050437.351053
266032183.0,7.0,4220376.0,1668050438.351204
267032074.0,7.0,4220376.0,1668050439.351095
268032148.0,7.0,4220376.0,1668050440.3511689
269032109.0,7.0,4220376.0,1668050441.35113
270032148.0,7.0,4220376.0,1668050442.3511689
271032126.0,7.0,4220376.0,1668050443.351147
272032241.0,7.0,4220376.0,1668050444.351262
273032214.0,7.0,4253144.0,1668050445.351235
275032177.0,7.0,6350296.0,1668050447.351198
276032067.0,7.0,6350296.0,1668050448.351088
277032242.0,7.0,4253144.0,1668050449.351263
278032078.0,7.0,4220408.0,1668050450.351099
279032134.0,7.0,4220408.0,1668050451.351155
280032072.0,7.0,4220408.0,1668050452.351093
281032095.0,7.0,4220408.0,1668050453.351116
282032152.0,7.0,4220408.0,1668050454.351173
283031978.0,7.0,4220408.0,1668050455.3509989
284032020.0,7.0,4220408.0,1668050456.351041
285032074.0,7.0,4220408.0,1668050457.351095
286032112.0,7.0,4220408.0,1668050458.3511329
287031973.0,7.0,4220408.0,1668050459.3509939
288032190.0,7.0,4220408.0,1668050460.351211
289032003.0,7.0,4253176.0,1668050461.351024
290043900.0,7.0,4253144.0,1668050462.362921
291043831.0,7.0,4253144.0,1668050463.362852
292043986.0,7.0,4253144.0,1668050464.363007
293043840.0,7.0,4220376.0,1668050465.362861
294043809.0,7.0,4220376.0,1668050466.36283
295044627.0,7.0,6350296.0,1668050467.363648
296043877.0,7.0,6350296.0,1668050468.3628979
297043787.0,7.0,6350296.0,1668050469.362808
298043968.0,7.0,4253144.0,1668050470.362989
299043922.0,7.0,4220408.0,1668050471.362943
300043776.0,7.0,4220408.0,1668050472.362797
301043926.0,7.0,4220408.0,1668050473.362947
302043808.0,7.0,4220408.0,1668050474.362829
303043917.0,7.0,4220408.0,1668050475.362938
304043757.0,7.0,4220408.0,1668050476.362778
305043934.0,7.0,4220408.0,1668050477.362955
306043890.0,7.0,4220408.0,1668050478.362911
307043955.0,7.0,4220408.0,1668050479.362976
308043786.0,7.0,4220408.0,1668050480.362807
309043861.0,7.0,4220408.0,1668050481.362882
310043867.0,7.0,4220408.0,1668050482.362888
311043761.0,7.0,4220408.0,1668050483.362782
312043893.0,7.0,4220408.0,1668050484.362914
313043899.0,7.0,4220408.0,1668050485.36292
314043882.0,7.0,4220408.0,1668050486.3629029
315043781.0,7.0,4220408.0,1668050487.362802
316044074.0,7.0,4220408.0,1668050488.363095
317043854.0,7.0,4220408.0,1668050489.362875
318043756.0,7.0,4220408.0,1668050490.362777
319043794.0,7.0,4220408.0,1668050491.362815
320043837.0,7.0,4220408.0,1668050492.362858
321043868.0,7.0,4220408.0,1668050493.362889
322043835.0,7.0,4220408.0,1668050494.362856
323043841.0,7.0,4220408.0,1668050495.3628619
324043804.0,7.0,4220408.0,1668050496.362825
325043973.0,7.0,4220408.0,1668050497.362994
326043943.0,7.0,4220408.0,1668050498.362964
327043773.0,7.0,4220408.0,1668050499.362794
328043883.0,7.0,4220408.0,1668050500.362904
329043737.0,7.0,4220408.0,1668050501.362758
330043917.0,7.0,4220408.0,1668050502.362938
331043818.0,7.0,4220408.0,1668050503.362839
332043895.0,7.0,4220408.0,1668050504.362916
333043741.0,7.0,4220408.0,1668050505.362762
334043978.0,7.0,4220408.0,1668050506.362999
335043922.0,7.0,4220408.0,1668050507.362943
336043973.0,7.0,4220408.0,1668050508.362994
336883779.0,7.0,4220408.0,1668050509.2028
337883848.0,7.0,4220408.0,1668050510.202869
338883871.0,7.0,4220408.0,1668050511.202892
339883781.0,7.0,4220408.0,1668050512.202802
340883814.0,7.0,4220408.0,1668050513.202835
341883799.0,7.0,4220408.0,1668050514.20282
342883911.0,7.0,4220408.0,1668050515.202932
343883886.0,7.0,4220408.0,1668050516.202907
344883765.0,7.0,4220408.0,1668050517.202786
345883908.0,7.0,4220408.0,1668050518.202929
346883817.0,7.0,4203896.0,1668050519.202838
347884243.0,7.0,4203896.0,1668050520.203264
348883787.0,7.0,4203896.0,1668050521.202808
349883865.0,7.0,4203896.0,1668050522.202886
350883788.0,7.0,4203896.0,1668050523.202809
351884006.0,7.0,4203896.0,1668050524.203027
352883841.0,7.0,4203896.0,1668050525.202862
353883826.0,7.0,4203896.0,1668050526.202847
354884188.0,7.0,4203896.0,1668050527.203209
355883887.0,7.0,4203896.0,1668050528.202908
356883927.0,7.0,4203896.0,1668050529.202948
357883824.0,7.0,4203896.0,1668050530.202845
358884090.0,7.0,4203896.0,1668050531.203111
359883933.0,7.0,4203896.0,1668050532.202954
360884187.0,7.0,4203896.0,1668050533.203208
361884185.0,7.0,4203896.0,1668050534.203206
362884129.0,7.0,4203896.0,1668050535.20315
363884151.0,7.0,4203896.0,1668050536.203172
364884135.0,7.0,4203896.0,1668050537.203156
365884125.0,7.0,4203896.0,1668050538.203146
366883797.0,7.0,4203896.0,1668050539.202818
367883868.0,7.0,4203896.0,1668050540.202889
368883839.0,7.0,4203896.0,1668050541.2028599
369884010.0,7.0,4203896.0,1668050542.203031
370883934.0,7.0,4203896.0,1668050543.202955
371883832.0,7.0,4203896.0,1668050544.202853
372883995.0,7.0,4203896.0,1668050545.203016
373883886.0,7.0,4203896.0,1668050546.202907
374883903.0,7.0,4203896.0,1668050547.202924
375883861.0,7.0,4334968.0,1668050548.202882
376883835.0,7.0,4334968.0,1668050549.202856
377883867.0,7.0,4334968.0,1668050550.202888
378883863.0,7.0,4334968.0,1668050551.202884
379884348.0,7.0,4334968.0,1668050552.203369
380884000.0,7.0,4334968.0,1668050553.203021
381884226.0,7.0,4334968.0,1668050554.203247
382883777.0,7.0,4334968.0,1668050555.202798
383883881.0,7.0,4334968.0,1668050556.202902
384883800.0,7.0,4334968.0,1668050557.202821
385883918.0,7.0,4334968.0,1668050558.202939
386883821.0,7.0,4334968.0,1668050559.202842
387883916.0,7.0,4334968.0,1668050560.202937
388883879.0,7.0,4334968.0,1668050561.2029
389883741.0,7.0,4334968.0,1668050562.202762
390884189.0,7.0,4334968.0,1668050563.2032099
