TimeUS,SpyTT,SpyCR,SpyTR,PmpPos,PowF,PowR,AREA,Out,OutFlw,timestamp
221959814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050394.278835
222961684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050395.280705
223961667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050396.280688
227973580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050400.2926009
228973554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050401.292575
229973621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050402.2926419
233986942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050406.305963
234986927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050407.305948
238999205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050411.318226
239999264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050412.318285
240999263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050413.318284
241999277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050414.318298
242999414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050415.318435
247010981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050419.330002
248010903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050420.3299239
249011199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050421.33022
253022928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050425.341949
254023040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050426.342061
255023099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050427.34212
259034967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050431.353988
260035010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050432.354031
261034985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050433.354006
262035088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050434.354109
263035074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050435.354095
264035060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050436.354081
265035164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050437.354185
266035006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050438.354027
267034974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050439.353995
268035055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050440.354076
269035056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050441.354077
270035028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050442.354049
271035021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050443.354042
272035194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050444.354215
273035142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050445.354163
275034969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050447.35399
276035037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050448.354058
277034974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050449.353995
278034943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050450.353964
279034857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050451.353878
280034902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050452.353923
281035016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050453.354037
282034995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050454.354016
283035123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050455.354144
284035014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050456.354035
285034889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050457.35391
286035005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050458.354026
287034908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050459.353929
288034952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050460.353973
289034859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050461.35388
290046837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050462.365858
291047093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668050463.366114
