TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,timestamp
227273613.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050399.592634
227373358.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050399.692379
227473382.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050399.792403
227573426.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050399.892447
227673373.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050399.992394
227773415.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.092436
227873443.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.1924639
227973344.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.292365
228073426.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.392447
228173538.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.492559
228273317.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.592338
228373261.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.692282
228473391.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.792412
228573506.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.892527
228673645.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050400.992666
228773451.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050401.092472
228873423.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050401.192444
228973320.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050401.292341
229073543.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050401.392564
229173318.0,1500.0,1500.0,1500.0,1500.0,1500.0,1100.0,1100.0,1900.0,1500.0,1100.0,1100.0,1100.0,874.0,874.0,1668050401.492339
