TimeUS,Instance,Dist,Stat,Orient,timestamp
223358735.0,0.0,4.26,1.0,0.0,1668050395.677756
223358789.0,1.0,0.32,4.0,25.0,1668050395.67781
223408616.0,0.0,4.26,1.0,0.0,1668050395.727637
223408646.0,1.0,0.32,4.0,25.0,1668050395.727667
223458861.0,0.0,4.26,1.0,0.0,1668050395.777882
223458870.0,1.0,0.3,4.0,25.0,1668050395.777891
223508468.0,0.0,4.26,1.0,0.0,1668050395.827489
223508604.0,1.0,0.25,4.0,25.0,1668050395.827625
223558916.0,0.0,4.26,1.0,0.0,1668050395.877937
223558925.0,1.0,0.25,4.0,25.0,1668050395.877946
223608643.0,0.0,4.26,1.0,0.0,1668050395.927664
223608653.0,1.0,0.22,4.0,25.0,1668050395.927674
223658889.0,0.0,4.26,1.0,0.0,1668050395.97791
223658898.0,1.0,0.22,4.0,25.0,1668050395.977919
223708402.0,0.0,4.26,1.0,0.0,1668050396.027423
223708413.0,1.0,0.2,4.0,25.0,1668050396.0274339
223758686.0,0.0,4.26,1.0,0.0,1668050396.077707
223758740.0,1.0,0.2,4.0,25.0,1668050396.077761
223808437.0,0.0,4.26,1.0,0.0,1668050396.127458
223808515.0,1.0,0.2,4.0,25.0,1668050396.127536
223858898.0,0.0,4.26,1.0,0.0,1668050396.177919
223858909.0,1.0,0.2,4.0,25.0,1668050396.1779299
223908476.0,0.0,4.26,1.0,0.0,1668050396.227497
223908487.0,1.0,0.2,4.0,25.0,1668050396.227508
223958736.0,0.0,4.26,1.0,0.0,1668050396.277757
223958745.0,1.0,0.2,4.0,25.0,1668050396.277766
224008644.0,0.0,4.26,1.0,0.0,1668050396.327665
224008654.0,1.0,0.2,4.0,25.0,1668050396.327675
224058904.0,0.0,4.26,1.0,0.0,1668050396.377925
224058913.0,1.0,0.2,4.0,25.0,1668050396.377934
224108613.0,0.0,4.26,1.0,0.0,1668050396.427634
224108623.0,1.0,0.2,4.0,25.0,1668050396.427644
224158908.0,0.0,4.26,1.0,0.0,1668050396.4779289
224158955.0,1.0,0.2,4.0,25.0,1668050396.477976
224208605.0,0.0,4.26,1.0,0.0,1668050396.527626
224208615.0,1.0,0.22,4.0,25.0,1668050396.527636
224258964.0,0.0,4.26,1.0,0.0,1668050396.577985
224258973.0,1.0,0.22,4.0,25.0,1668050396.5779939
224308431.0,0.0,4.26,1.0,0.0,1668050396.627452
224308441.0,1.0,0.22,4.0,25.0,1668050396.627462
224358899.0,0.0,4.26,1.0,0.0,1668050396.67792
224358908.0,1.0,0.22,4.0,25.0,1668050396.677929
227208467.0,0.0,4.26,1.0,0.0,1668050399.527488
227208636.0,1.0,0.22,4.0,25.0,1668050399.527657
227258777.0,0.0,4.26,1.0,0.0,1668050399.577798
227258805.0,1.0,0.22,4.0,25.0,1668050399.577826
227320448.0,0.0,4.26,1.0,0.0,1668050399.639469
227320508.0,1.0,0.25,4.0,25.0,1668050399.639529
227370918.0,0.0,4.26,1.0,0.0,1668050399.689939
227370927.0,1.0,0.25,4.0,25.0,1668050399.689948
227420435.0,0.0,4.26,1.0,0.0,1668050399.739456
227420445.0,1.0,0.25,4.0,25.0,1668050399.739466
227470846.0,0.0,4.26,1.0,0.0,1668050399.789867
227470854.0,1.0,0.25,4.0,25.0,1668050399.789875
227520563.0,0.0,4.26,1.0,0.0,1668050399.8395839
227520574.0,1.0,0.25,4.0,25.0,1668050399.839595
227571249.0,0.0,4.26,1.0,0.0,1668050399.89027
227571257.0,1.0,0.25,4.0,25.0,1668050399.890278
227620506.0,0.0,4.26,1.0,0.0,1668050399.939527
227620539.0,1.0,0.25,4.0,25.0,1668050399.93956
227670649.0,0.0,4.26,1.0,0.0,1668050399.98967
227670658.0,1.0,0.25,4.0,25.0,1668050399.989679
227720406.0,0.0,4.26,1.0,0.0,1668050400.039427
227720417.0,1.0,0.25,4.0,25.0,1668050400.039438
227770812.0,0.0,4.26,1.0,0.0,1668050400.089833
227770821.0,1.0,0.25,4.0,25.0,1668050400.089842
227820515.0,0.0,4.26,1.0,0.0,1668050400.139536
227820525.0,1.0,0.25,4.0,25.0,1668050400.139546
227870611.0,0.0,4.26,1.0,0.0,1668050400.189632
227870619.0,1.0,0.25,4.0,25.0,1668050400.18964
227920424.0,0.0,4.26,1.0,0.0,1668050400.239445
227920434.0,1.0,0.25,4.0,25.0,1668050400.239455
227970742.0,0.0,4.26,1.0,0.0,1668050400.289763
227970758.0,1.0,0.25,4.0,25.0,1668050400.289779
228020448.0,0.0,4.26,1.0,0.0,1668050400.339469
228020458.0,1.0,0.25,4.0,25.0,1668050400.339479
228071003.0,0.0,4.26,1.0,0.0,1668050400.390024
228071012.0,1.0,0.25,4.0,25.0,1668050400.390033
228120426.0,0.0,4.26,1.0,0.0,1668050400.439447
228120440.0,1.0,0.25,4.0,25.0,1668050400.439461
228170653.0,0.0,4.26,1.0,0.0,1668050400.489674
228170662.0,1.0,0.25,4.0,25.0,1668050400.489683
228220499.0,0.0,4.26,1.0,0.0,1668050400.53952
228220579.0,1.0,0.22,4.0,25.0,1668050400.5396
228270676.0,0.0,4.26,1.0,0.0,1668050400.589697
228270684.0,1.0,0.22,4.0,25.0,1668050400.589705
228320434.0,0.0,4.26,1.0,0.0,1668050400.639455
228320447.0,1.0,0.22,4.0,25.0,1668050400.639468
228370852.0,0.0,4.26,1.0,0.0,1668050400.689873
228370860.0,1.0,0.22,4.0,25.0,1668050400.689881
228420571.0,0.0,4.26,1.0,0.0,1668050400.739592
228420581.0,1.0,0.22,4.0,25.0,1668050400.739602
228470943.0,0.0,4.26,1.0,0.0,1668050400.789964
228470952.0,1.0,0.22,4.0,25.0,1668050400.789973
228520451.0,0.0,4.26,1.0,0.0,1668050400.839472
228520461.0,1.0,0.22,4.0,25.0,1668050400.839482
228571075.0,0.0,4.26,1.0,0.0,1668050400.890096
228571109.0,1.0,0.22,4.0,25.0,1668050400.89013
