TimeUS,Id,Value,timestamp
274132185.0,9.0,34365.0,1668050446.451206
295043890.0,9.0,34199.0,1668050467.362911
738880145.0,9.0,22785.0,1668050911.199166
969331908.0,9.0,21238.0,1668051141.650929
