TimeUS,AThrs,WThrs,MaxP,MotM,IsA,IsW,Cnt,timestamp
221059666.0,1828.0,1787.0,1104.0802001953125,1.0,0.0,0.0,0.0,1668050393.378687
221159390.0,1828.0,1787.0,1102.407470703125,1.0,0.0,0.0,0.0,1668050393.478411
221259300.0,1828.0,1787.0,1100.786376953125,1.0,0.0,0.0,0.0,1668050393.578321
221359340.0,1828.0,1787.0,1099.2154541015625,1.0,0.0,0.0,0.0,1668050393.678361
221459375.0,1828.0,1787.0,1097.693115234375,1.0,0.0,0.0,0.0,1668050393.778396
221559646.0,1828.0,1787.0,1096.2178955078125,1.0,0.0,0.0,0.0,1668050393.8786669
221659189.0,1828.0,1787.0,1094.788330078125,1.0,0.0,0.0,0.0,1668050393.97821
221759427.0,1828.0,1787.0,1093.4029541015625,1.0,0.0,0.0,0.0,1668050394.078448
221859534.0,1828.0,1787.0,1092.0604248046875,1.0,0.0,0.0,0.0,1668050394.178555
221959710.0,1828.0,1787.0,1090.7593994140625,1.0,0.0,0.0,0.0,1668050394.2787309
222059544.0,1828.0,1787.0,1089.4986572265625,1.0,0.0,0.0,0.0,1668050394.378565
222159539.0,1828.0,1787.0,1088.27685546875,1.0,0.0,0.0,0.0,1668050394.47856
222259598.0,1828.0,1787.0,1087.0928955078125,1.0,0.0,0.0,0.0,1668050394.578619
222359539.0,1828.0,1787.0,1085.945556640625,1.0,0.0,0.0,0.0,1668050394.67856
222459574.0,1828.0,1787.0,1084.833740234375,1.0,0.0,0.0,0.0,1668050394.778595
222559513.0,1828.0,1787.0,1083.7562255859375,1.0,0.0,0.0,0.0,1668050394.878534
222659623.0,1828.0,1787.0,1082.7120361328125,1.0,0.0,0.0,0.0,1668050394.978644
222759495.0,1828.0,1787.0,1081.7001953125,1.0,0.0,0.0,0.0,1668050395.078516
222859203.0,1828.0,1787.0,1080.7196044921875,1.0,0.0,0.0,0.0,1668050395.178224
222959869.0,1828.0,1787.0,1079.7694091796875,1.0,0.0,0.0,0.0,1668050395.27889
223059530.0,1828.0,1787.0,1078.8485107421875,1.0,0.0,0.0,0.0,1668050395.378551
223159608.0,1828.0,1787.0,1077.9561767578125,1.0,0.0,0.0,0.0,1668050395.4786289
223259612.0,1828.0,1787.0,1077.0914306640625,1.0,0.0,0.0,0.0,1668050395.578633
223359398.0,1828.0,1787.0,1076.25341796875,1.0,0.0,0.0,0.0,1668050395.6784189
223459512.0,1828.0,1787.0,1075.4412841796875,1.0,0.0,0.0,0.0,1668050395.778533
223559555.0,1828.0,1787.0,1074.654296875,1.0,0.0,0.0,0.0,1668050395.878576
223659519.0,1828.0,1787.0,1073.8916015625,1.0,0.0,0.0,0.0,1668050395.97854
223759308.0,1828.0,1787.0,1073.152587890625,1.0,0.0,0.0,0.0,1668050396.078329
223859521.0,1828.0,1787.0,1072.4364013671875,1.0,0.0,0.0,0.0,1668050396.178542
223959576.0,1828.0,1787.0,1071.7423095703125,1.0,0.0,0.0,0.0,1668050396.2785969
224059528.0,1828.0,1787.0,1071.0697021484375,1.0,0.0,0.0,0.0,1668050396.378549
224159543.0,1828.0,1787.0,1070.41796875,1.0,0.0,0.0,0.0,1668050396.478564
224259460.0,1828.0,1787.0,1069.786376953125,1.0,0.0,0.0,0.0,1668050396.578481
224359613.0,1828.0,1787.0,1069.17431640625,1.0,0.0,0.0,0.0,1668050396.678634
227271699.0,1828.0,1787.0,1127.7635498046875,4.0,0.0,0.0,0.0,1668050399.59072
227371583.0,1828.0,1787.0,1125.3582763671875,4.0,0.0,0.0,0.0,1668050399.690604
227471479.0,1828.0,1787.0,1123.02734375,4.0,0.0,0.0,0.0,1668050399.7905
227571789.0,1828.0,1787.0,1120.7685546875,4.0,0.0,0.0,0.0,1668050399.89081
227671196.0,1828.0,1787.0,1118.57958984375,4.0,0.0,0.0,0.0,1668050399.990217
227771435.0,1828.0,1787.0,1116.4583740234375,4.0,0.0,0.0,0.0,1668050400.090456
227871185.0,1828.0,1787.0,1114.4027099609375,4.0,0.0,0.0,0.0,1668050400.190206
